Depth,Age,StronglyCoproConc,TotalFungiConc,StronglyCoproPct,TotalFungiPct
606.5,7769,0,0,0,0
614.5,7915,238.2435897,238.2435897,0.303030303,0.303030303
632.5,8513,0,0,0.297619048,0.297619048
638.5,8664,563.1212121,563.1212121,0.56980057,0.56980057
644.5,8819,743.32,743.32,0.284090909,0.284090909
651.5,8996,807.9565217,807.9565217,0,0
656.5,9123,422.3409091,422.3409091,0.290697674,0.290697674
662.5,9282,0,0,0.294117647,0.294117647
670.5,9483,476.4871795,476.4871795,0,0
671.5,9509,320.3965517,320.3965517,0,0
676.5,9643,0,0,0.574712644,0.574712644
682.5,9799,0,0,0,0
688.5,9956,2064.777778,2064.777778,0.298062593,0.298062593
694.5,10106,0,0,0,0
700.5,10264,884.9047619,884.9047619,0,0
706.5,10421,0,0,0.917431193,0.917431193
712.5,10575,0,0,0,0
718.5,10731,1051.867925,1051.867925,0.604229607,0.604229607
727.5,10962,0,0,0.611620795,0.611620795
743.5,11384,495.5466667,495.5466667,0.280504909,0.280504909
745.5,11441,884.9047619,884.9047619,0,0
755.5,11695,387.1458333,387.1458333,0,0
757.5,11746,0,0,0,0
759.5,11803,0,0,0,0
760.5,11829,0,0,0.304878049,0.304878049
762.5,11874,0,0,0,0
765.5,11939,304.6393443,304.6393443,0,0
769.5,12028,0,0,0,0
772.5,12090,0,0,0,0
775.5,12152,0,0,0.881057269,0.881057269
777.5,12195,0,0,0,0
778.5,12215,679.8658537,679.8658537,0,0
785.5,12361,0,0,0.513478819,0.513478819
787.5,12402,0,0,0,0
790.5,12461,203.0928962,203.0928962,0.27173913,0.27173913
792.5,12497,0,0,0.501253133,0.501253133
794.5,12532,129.0486111,129.0486111,0.578871201,0.578871201
796.5,12577,288.1085271,288.1085271,0.833333333,0.833333333
798.5,12652,135.6423358,135.6423358,0,0
802.5,12789,357.3653846,357.3653846,0,0
808.5,13052,0,0,1.373626374,1.373626374
812.5,13233,0,0,0.583090379,0.583090379
814.5,13330,109.3117647,109.3117647,0.30816641,0.30816641
819.5,13559,221.2261905,221.2261905,0,0
821.5,13658,105.5852273,105.5852273,1.171303075,1.171303075
826.5,14031,0,0,0,0
831.5,14257,29.76852223,29.76852223,0.490196078,0.490196078
836.5,14364,0,0,2.461538462,2.461538462
841.5,14471,88.70167064,88.70167064,1.754385965,1.754385965
845.5,14557,326.0175439,326.0175439,2.211690363,2.211690363
846.5,14577,502.2432432,502.2432432,0.920245399,0.920245399
848.5,14622,769.7100592,769.7100592,1.424501425,1.424501425
851.5,14680,320.3965517,320.3965517,3.363914373,3.363914373
854.5,14738,1009.945652,1009.945652,3.164556962,3.164556962
856.5,14776,1123.148352,1123.148352,2.777777778,2.777777778
861.5,14876,435.1990632,435.1990632,4.923076923,4.923076923
866.5,14980,244.1562044,244.1562044,4.958677686,4.958677686
871.5,15082,937.9432177,937.9432177,4.692082111,4.692082111
876.5,15183,1229.757353,1229.757353,7.051282051,7.051282051
881.5,15282,1001.104377,1001.104377,4.953560372,4.953560372
887.5,15408,431.7064414,431.7064414,5.705705706,5.705705706
890.5,15470,701.245283,701.245283,2.803738318,2.803738318
896.5,15591,762.5853132,762.5853132,8.011869436,8.011869436
900.5,15674,344.8391753,344.8391753,4.166666667,4.166666667
906.5,15791,1076.697425,1076.697425,1.912568306,1.912568306
910.5,15876,559.488172,559.488172,3.738317757,3.738317757
916.5,15998,301.1134259,301.1134259,5.429864253,5.429864253
920.5,16076,576.2170543,576.2170543,5.263157895,5.263157895
930.5,16275,396.3199052,396.3199052,9.625668449,9.625668449
954.5,16769,232.4584253,232.4584253,5.289672544,5.289672544
1082.5,19377,649.5029126,649.5029126,5.602240896,5.602240896
