depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
606,7769,6,1,6.1,0.3219,2.7421,-2.4201,-0.9923,-0.5561,-0.0673,-0.5561,-3.5335,3.64,0.66,0,0,0,0,0,0,7.28,55,25,,,,,,,,,
607.06,7789,104,1,103.7,5.7156,2.7585,2.9571,-0.9176,-0.461,0.0508,-0.461,-3.5785,3.57,0.63,1,1,1,1,0,68.362,7.13,56,,,,,,,,,,
608.16,7809,13,1,13.2,0.6878,2.7749,-2.0871,-0.8426,-0.3655,0.1693,-0.3655,-3.6229,3.49,0.7,0,0,0,0,0,0,6.98,58,,,,,,,,,,
609.2,7829,53,1,52.8,2.6987,2.7912,-0.0926,-0.7671,-0.2695,0.2883,-0.2695,-3.6669,3.41,0.41,1,1,0,1,0,3.539,6.84,60,,,,,,,,,,
610.22,7849,24,1,23.7,1.3399,2.8074,-1.4675,-0.6911,-0.1729,0.4079,-0.1729,-3.7105,3.33,0.76,0,0,0,0,0,0,6.69,62,,,,,,,,,,
611.35,7869,43,1,43.45,2.5559,2.8236,-0.2677,-0.6144,-0.0756,0.5283,-0.0756,-3.7537,3.26,0.54,0,0,0,0,0,0,6.55,64,,,,,,,,,,
612.53,7889,98,1,98.4,5.5953,2.8396,2.7557,-0.537,0.0224,0.6495,0.0224,-3.7967,3.18,0.57,0,1,1,1,0,54.6654,6.4,66,,,,,,,,,,
613.67,7909,49,1,49.2,2.6326,2.8555,-0.2229,-0.4589,0.1212,0.7715,0.1212,-3.8395,3.1,0.73,0,0,0,0,0,0,6.25,68,,,,,,,,,,
614.74,7929,71,1,71.25,3.3665,2.8714,0.4951,-0.3802,0.2208,0.8944,0.2208,-3.8821,3.02,0.6,1,1,0,1,0,5.4856,6.11,70,,,,,,,,,,
615.68,7949,33,1,33.25,1.3009,2.8872,-1.5863,-0.3008,0.321,1.0181,0.321,-3.9246,2.94,0.47,0,0,0,0,0,0,5.96,77,,,,,,,,,,
616.46,7969,29,1,28.75,0.9815,2.9028,-1.9213,-0.221,0.4218,1.1423,0.4218,-3.9669,2.86,0.48,0,0,0,0,0,0,5.81,85,,,,,,,,,,
617.15,7989,115,1,115,3.3824,2.9184,0.464,-0.141,0.5229,1.2669,0.5229,-4.0091,2.78,0.32,1,0,0,0,0,0,5.67,93,,,,,,,,,,
617.74,8009,52,1,51.75,1.4147,2.9339,-1.5191,-0.0609,0.6239,1.3914,0.6239,-4.0511,2.7,0.23,0,0,0,0,0,0,5.52,101,,,,,,,,,,
618.28,8029,0,1,0,0,2.9493,-2.9493,0.0189,0.7245,1.5154,0.7245,-4.0928,2.62,0.24,0,0,0,0,0,0,5.37,109,,,,,,,,,,
618.79,8049,39,1,39,0.9442,2.9646,-2.0204,0.0978,0.8241,1.6381,0.8241,-4.1341,2.54,0.14,0,0,0,0,0,0,5.22,118,,,,,,,,,,
619.28,8069,65,1,65,1.5116,2.9798,-1.4681,0.1752,0.9217,1.7584,0.9217,-4.1745,2.46,0.15,0,0,0,0,0,0,5.07,128,,,,,,,,,,
619.74,8089,36,1,35.75,0.8595,2.9949,-2.1354,0.2505,1.0164,1.875,1.0164,-4.2129,2.39,0.17,0,0,0,0,0,0,4.92,137,,,,,,,,,,
620.23,8109,0,1,0,0,3.0099,-3.0099,0.3237,1.1081,1.9874,1.1081,-4.2473,2.33,0.1,0,0,0,0,0,0,4.77,147,,,,,,,,,,
620.73,8129,59,1,59.4,1.4243,3.0249,-1.6006,0.3852,1.1849,2.0812,1.1849,-4.2746,2.26,0.14,0,0,0,0,0,0,4.62,156,,,,,,,,,,
621.2,8149,132,1,132,3,3.0397,-0.0397,0.4398,1.2532,2.1649,1.2532,-4.3002,2.21,0.81,0,0,0,0,0,0,4.48,165,,,,,,,,,,
621.66,8169,99,1,99,2.1926,3.0545,-0.8619,0.4879,1.3138,2.2395,1.3138,-4.3248,2.15,0.09,0,0,0,0,0,0,4.33,174,,,,,,,,,,
622.1,8189,0,1,0,0,3.0692,-3.0692,0.5316,1.3692,2.308,1.3692,-4.3491,2.1,0.23,0,0,0,0,0,0,4.18,183,,,,,,,,,,
622.51,8209,0,1,0,0,3.0838,-3.0838,0.5743,1.4234,2.3752,1.4234,-4.3735,2.04,0.07,0,0,0,0,0,0,4.03,192,,,,,,,,,,
622.92,8229,107,1,107.2,2.1191,3.0983,-0.9792,0.619,1.48,2.4452,1.48,-4.3987,1.99,0.39,0,0,0,0,0,0,3.88,201,,,,,,,,,,
623.31,8249,134,1,134,2.6275,3.1127,-0.4853,0.6655,1.539,2.5182,1.539,-4.4249,1.93,0.92,0,0,0,0,0,0,3.74,210,,,,,,,,,,
