"Depth","Age","abies.balsamea","picea.glauca","picea.mariana","picea.undiff","pinus.banks.res","pinus.strobus","pinus.undiff","pinus.tot","acer.negundo","acer.pennsylvanicum","acer.rubrum","acer.saccharinum","acer.saccharum","acer.undiff","acer.tot","alnus.crispa","alnus.rugosa","alnus.total","betula","carya","castanea","celtis","cornus","corylus","cupressaceae.taxaceae","fagus.grandifolia","fraxinus.americana","fraxinus.nigra.quad","fraxinus.penn","fraxinus.tot","frax.pnam","ilex","juglans.cinerea","juglans.nigra","juglans.tot","larix","liquidambar","morus","myricaceae","ostrya.carpinus","platanus","populus","quercus","rhamnus","salix","sambucus","tilia","tsuga","ulmus","viburnum","ambrosia","amorpha","artemisia","asteraceae","balsaminaceae","brassicaceae","campanulaceae","chenopodiaceae","cyperaceae","ericaceae","eric.tot","galium","humulus","iva","monotropa","oxalis","petalostemum","poaceae","plantago","ploygonum","ranunculaceae","roseaceae","rhus.glabra","rumex","sagittaria","saxifragaceae","salsola","sarcobatus","stachys","thalictrum","tradenscantia","urtica","vaccinium","pteridium","sporormiella","UPLAND.SUM"
606.5,7769,0,0,0,0.156739812,0.626959248,0,0.470219436,1.097178683,0,0,0,0,0.940438871,0,0.940438871,0,0,0,0.940438871,3.761755486,0,1.567398119,0,0,0.313479624,0.626959248,0,1.567398119,0.940438871,2.507836991,0.940438871,0,0,0.313479624,0.313479624,0.313479624,0,0,0.626959248,0.313479624,0,0,70.53291536,0,0,0,0.940438871,0,9.090909091,0,2.194357367,0,0,0.313479624,0,0,0,0.940438871,0,0,0,0,0,0,0,0,0,2.507836991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319
614.5,7915,0,0,0,0.303030303,1.515151515,0,0,1.515151515,9.090909091,0,0,1.818181818,0,0.303030303,11.21212121,0,0,0,0.303030303,4.242424242,0,0.303030303,0,0.909090909,0,5.757575758,0,3.939393939,0.303030303,4.242424242,0.303030303,0,0.606060606,1.515151515,2.121212121,0,0,0,0,1.515151515,0.606060606,1.515151515,34.24242424,0,11.21212121,0,0,0,10.90909091,0,1.818181818,0,0.303030303,0,0,0,0,0.909090909,0,0,0,0,0,0.303030303,0,0.303030303,0,4.848484848,0,0,0,0,0,0,0,0.606060606,0,0,0,0,0,0,0,0,0.303030303,330
632.5,8513,0.595238095,0,0,1.636904762,0,0,4.017857143,4.017857143,0,0,0,0.595238095,0,0,0.595238095,0,0.297619048,0.297619048,0,5.654761905,0.595238095,0.892857143,0,0,0.892857143,0,0,2.380952381,0,2.380952381,0,0,0.297619048,0.297619048,0.595238095,0,0,0,0,2.380952381,0.892857143,0.892857143,55.6547619,0,2.678571429,1.785714286,0.595238095,0,7.44047619,0,2.976190476,0,0.595238095,0.297619048,0,0,0,1.19047619,0,0,0,0,0,0,0,0,0,2.678571429,1.785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297619048,336
638.5,8664,0,0,0,1.566951567,0,0,3.561253561,3.561253561,0.56980057,0,0.284900285,1.13960114,0,0,1.994301994,0,0.854700855,0.854700855,0.284900285,4.843304843,0.284900285,1.424501425,0,0,0.56980057,0.284900285,0.854700855,0.284900285,0,1.13960114,0.854700855,0,0.284900285,0.284900285,0.56980057,0,0,0,0,3.133903134,0,0.284900285,55.27065527,0,5.413105413,0,0.284900285,0,5.982905983,0,3.988603989,0,0.854700855,0,0,0,0,0.56980057,0.854700855,0.284900285,0.284900285,0,0,0,0,0,0,0,4.273504274,0.854700855,0,0,0.284900285,0,0,0,0,0,0,0,0,0,0,0.284900285,0.56980057,351
644.5,8819,0.142045455,0,0,1.136363636,0,0,4.403409091,4.403409091,0.284090909,0,0,1.704545455,0.284090909,0,2.272727273,0,0,0,0.284090909,4.829545455,1.704545455,0.568181818,0,0.284090909,1.704545455,0,0.284090909,2.272727273,0.284090909,2.840909091,0.568181818,0,0,1.136363636,1.136363636,0,0,0,0,2.272727273,0,1.420454545,52.27272727,0,0.852272727,0,0.568181818,0,8.806818182,0,3.693181818,0,1.420454545,0,0,0,0,0.852272727,0.568181818,0,0,0,0,0,0,0,0,3.977272727,0.852272727,0,0,0,0,0.852272727,0,0,0,0,0.284090909,0,0,0,0,0,0.284090909,352
651.5,8996,0,0,0,1.146131805,0,0,4.297994269,4.297994269,0.859598854,0,0,0.573065903,0,0,1.432664756,0,0,0,0.859598854,4.871060172,0,0.573065903,0.286532951,0.286532951,1.146131805,0,0,0.859598854,0,0.859598854,0,0,0.286532951,0.859598854,1.146131805,0,0,0,0.859598854,1.432664756,0,0.573065903,52.72206304,0.286532951,6.303724928,0,0.573065903,0.573065903,7.163323782,0,4.584527221,0,0.859598854,0.286532951,0,0,0,0.573065903,0.573065903,0,0,0,0,0,0,0,0,4.584527221,0.286532951,0,0,0,0,0.286532951,0,0,0,0,0,0.573065903,0,0,0,0,0,349
656.5,9123,0.290697674,0,0,1.598837209,0.290697674,0,5.087209302,5.377906977,0.581395349,0,0,1.453488372,0.290697674,0,2.325581395,0,0.581395349,0.581395349,0.872093023,4.651162791,0,1.453488372,0,0,0,0.581395349,0,0.581395349,0,0.581395349,0,0,0.290697674,0.581395349,0.872093023,0.581395349,0,0,0.581395349,1.453488372,0,1.453488372,51.74418605,0.290697674,4.941860465,0,0.872093023,0,6.104651163,0,2.906976744,0,1.453488372,0,0,0,0,1.162790698,0.290697674,0,0,0,0,0,0,0,0,4.651162791,1.744186047,0,0,0,0,0.581395349,0,0,0,0,0,0,0,0,0,0,0.290697674,344
662.5,9282,0,0,0,0.882352941,0.294117647,0,4.117647059,4.411764706,0,0,0,2.941176471,0,0,2.941176471,0,0,0,0.882352941,4.705882353,0,0,0,0,0,1.176470588,0,0,0,0,0,0,0.294117647,0.588235294,0.882352941,0.294117647,0,0,0,3.235294118,0,1.470588235,50,0,3.529411765,0,2.058823529,0,11.76470588,0,2.352941176,0,0.588235294,0.588235294,0,0,0,1.470588235,0.294117647,0,0,0,0,0,0,0,0,3.235294118,2.058823529,0,0,0,0,0.882352941,0,0,0,0,0,0.294117647,0,0,0,0.294117647,0.294117647,340
670.5,9483,0,0,0,3.74251497,2.095808383,0.299401198,3.74251497,6.137724551,2.395209581,0,0,0,3.293413174,0,5.688622754,0,0.299401198,0.299401198,0.898203593,4.191616766,0,1.19760479,0,1.796407186,0,0.598802395,0,0.598802395,0,0.598802395,0,0,1.19760479,0,1.19760479,0,0,0.299401198,0.598802395,0.598802395,0,0,44.61077844,0,6.886227545,0,0.898203593,0,9.580838323,0,3.293413174,0.299401198,0,0,0,0,0,0,0,0,0,0,0,0,0.299401198,0,0.598802395,3.293413174,0,0,0,0,0.299401198,0,0,0.898203593,0,0,0,0,0,1.19760479,0,0.299401198,0,334
671.5,9509,0,0,0,0.59970015,0,0,2.548725637,2.548725637,1.499250375,0,0,0.899550225,0,0,2.3988006,0,0.899550225,0.899550225,1.499250375,8.395802099,0,0.899550225,0,0,1.1994003,7.496251874,0,0.59970015,0.299850075,0.899550225,0.299850075,0,0.299850075,2.098950525,2.3988006,0.59970015,0,0,0,0.299850075,0,2.3988006,38.98050975,0,5.997001499,0,0.899550225,0,12.89355322,0,2.098950525,0,0,0,0,0,0,1.1994003,1.1994003,0,0,0,0,0,0,0,0,1.79910045,0.59970015,0,0.299850075,0,0,1.1994003,0,0,0,0,0,0,0,0.299850075,0,0,0,333.5
