depth,age,char_mm2cm3
956,7682,24.85
966,8164,26.12
976,8658,25.45
986,9133,21.3
996,9606,35.81
1006,10061,27.88
1015,10465,11.1
1025,10953,9.18
1035,11439,8.32
1045,11952,9.14
1055,12454,9.38
1065,12943,7.8
1075,13352,7.63
1085,13600,12.68
1090,13850,23.2
1096,14226,75.38
1106,14785,4.46
1116,15320,19.7
1126,15855,7.36
1136,16326,14.53
1146,16829,3.53
1161,17590,4.19
1171,18087,1.24
1181,18607,4.69
1191,19118,0.54
1201,19634,2.25
1211,20150,2.59
1221,20649,1.34
1231,21152,2.9
1241,21654,1.17
1251,22146,0.73
