"","X.1","Depth","Age","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Anemone.sect..Hepatica","Apiaceae","Artemisia","Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Cannabaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cichorioideae","Commelinaceae","Corylus","Cupressaceae","Cyperaceae","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Galium","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Liliaceae","Liquidambar","Lycopodium","Morus","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum","Polypodiaceae","Populus","Potamogeton","Quercus","Ranunculaceae.undiff.","Rhamnaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Saxifragaceae","Selaginella","Sporormiella","Taxus","Thalictrum","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Ulota","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Utricularia","Zea.mays","X","Total","Total.Upland.Sum"
"1",1,956,7682,0.315955766,0.789889415,0.947867299,0,0.473933649,0,0,0,0,2.52764613,0,0,0,0,0.157977883,0,0,0,0,0,0,0.631911532,0,0.631911532,1.421800948,0,0,0.157977883,1.263823065,0,0,0.631911532,0,0,0,0,0,0,0,0.157977883,0,0,0.473933649,0,0,4.265402844,0,6.161137441,5.371248025,0,0,0.947867299,0,0,0,0,62.40126382,0,0,0,0,0,0,0.157977883,0,0,0,0,0,0,6.161137441,0.157977883,0,1.579778831,0,0,1.421800948,0.789889415,0,0,0,0,100,97.1563981
"2",2,966,8164,0,0.432900433,0.865800866,0,1.082251082,0,0,0.216450216,0.432900433,3.03030303,0,0,0,0,0.216450216,0,0.216450216,0,0,0,0,0,0.216450216,0.432900433,1.948051948,0,0,0,1.948051948,0,0,1.082251082,0,0,0.216450216,0,0,0,0,0.432900433,0,0,0,0,0,1.298701299,0,4.761904762,6.493506494,0,0.649350649,0.432900433,0,0,0,0,60.38961039,0,0,0,0,0,0,0.216450216,0,0,0.216450216,0,0,0,6.926406926,0,0,2.597402597,0,0,1.948051948,1.298701299,0,0,0,0,100,96.53679654
"3",3,976,8658,0,0.972447326,0.810372771,0,0.648298217,0,0,0.162074554,0.162074554,2.755267423,0,0,0,0,0.162074554,0,0,0,0,0,0,0.162074554,0,0.162074554,2.593192869,0,0,0.324149109,1.944894652,0,0.162074554,0.324149109,0,0,0,0,0,0,0,0.162074554,0,0,0.162074554,0,0,2.106969206,0,3.889789303,8.589951378,0,0.324149109,0.162074554,0,0,0,0,60.94003241,0,0,0,0,0,0,0.324149109,0,0,0,0,0,0.162074554,4.862236629,0,0,2.26904376,0,0,3.241491086,1.458670989,0,0,0,0,100,95.13776337
"4",4,986,9133,0,0.542495479,0.723327306,0,1.084990958,0,0,0,0.361663653,2.893309222,0,0,0,0,0.361663653,0,0.180831826,0,0.180831826,0,0,0.180831826,0,0.180831826,1.084990958,0,0,0.180831826,1.084990958,0,0,0.723327306,0.542495479,0,0.904159132,0,0,0,0,0.180831826,0,0.180831826,0,0,0,1.808318264,0,5.967450271,4.52079566,0,0.904159132,0.904159132,0,0,0,0,62.56781193,0,0,0,0,0,0,0.361663653,0,0,0,0,0,0.180831826,5.424954792,0,0,1.808318264,0.361663653,0,2.169981917,1.446654611,0,0,0,0,100,96.20253165
"5",5,996,9606,0,0.21691974,0.650759219,0,0.650759219,0,0,0,0,3.253796095,0,0,0,0,0.21691974,0,0,0,0,0,0,0.867678959,0,0,2.603036876,0,0,0,1.735357918,0,0,0.433839479,0,0,0.21691974,0,0,0,0,0.21691974,0,0,0.433839479,0,0,1.301518438,0,5.856832972,7.592190889,0,0,0.433839479,0,0,0,0,60.0867679,0,0,0,0,0,0,0.21691974,0,0,0,0,0,0.21691974,6.724511931,0,0,2.603036876,0,0,2.819956616,0.650759219,0,0,0,0,100,96.09544469
"6",6,1006,10061,0,0.196463654,0.589390963,0,0.785854617,0,0,0.196463654,0,0.785854617,0,0,0,0,0.196463654,0,0,0,0,0,0,1.178781925,0,0,2.161100196,0,0,0,1.37524558,0,0,0.785854617,0.196463654,0,0,0,0,0,0,0.392927308,0,0,0.196463654,0,0,2.161100196,0,5.697445972,5.500982318,0,0,0.392927308,0,0,0,0,58.93909627,0,0,0,0,0,0,0.589390963,0,0,0.196463654,0,0,0,10.41257367,0.196463654,0,3.929273084,0.196463654,0,1.37524558,1.37524558,0,0,0,0,100,96.66011788
"7",7,1015,10465,5.660377358,0,13.77358491,0,0.188679245,0,0,0,0.188679245,31.32075472,0,0,0,0,0,0,0,0,0,0,0,0.188679245,0.566037736,1.698113208,0,0,0,0.188679245,1.132075472,0,0,0.377358491,0,0,0.566037736,0,0,0.188679245,0,0.188679245,0,0,0,0,0,1.698113208,11.69811321,9.433962264,13.96226415,0,0,0.377358491,0,0,0,0.566037736,2.452830189,0,0,0,0,0,0,0.566037736,0,0,0,0.377358491,0.377358491,0,0.754716981,0,0,0.566037736,0,0,0.188679245,0.754716981,0,0,0,0,100,98.49056604
"8",8,1025,10953,8.301886792,0,17.16981132,0,0,0,0.188679245,0.188679245,0.754716981,26.98113208,0,0,0,0,0,0,0,0,0,0,0,0.377358491,0,1.698113208,0.188679245,0,0,0.188679245,0.566037736,0,0,0,0,0,0.377358491,0,0,1.320754717,0,0,0,0,0,0,0,0.754716981,14.71698113,5.471698113,14.90566038,0,0,0,0,0,1.320754717,0.377358491,2.075471698,0,0,0,0,0,0,0.377358491,0,0,0,0.566037736,0.188679245,0,0.377358491,0,0,0.188679245,0,0,0.188679245,0.188679245,0,0,0,0,100,99.24528302
"9",9,1035,11439,4.237288136,0.423728814,22.66949153,0,0,0,0.211864407,0.423728814,0,13.77118644,0,0,0,0,0,0,0,0,0,0,0,0.423728814,1.059322034,1.271186441,0,0,0,0,0.423728814,0,0,1.694915254,0,0,0.211864407,0,0,1.059322034,0,0.63559322,0,0,0,0,0,0.63559322,15.46610169,4.025423729,23.72881356,0,0,0.423728814,0,0,1.483050847,0,2.330508475,0,0,0,0,0,0,0.847457627,0,0,0.423728814,1.059322034,0.211864407,0,0.63559322,0,0,0,0,0,0.211864407,0,0,0,0,0,100,99.36440678
"10",10,1045,11952,9.111617312,0,15.03416856,0,0,0,0,0.227790433,0,7.744874715,0,0,0,0,0.227790433,0,0,0,0.227790433,0,0,0,2.277904328,1.366742597,0.227790433,0,0,0,0.683371298,0,0,1.59453303,0,0,0.455580866,0,0,0.227790433,0,0.911161731,0,0,0,0.455580866,0,0.911161731,14.12300683,5.922551253,30.29612756,0,0,0.227790433,0,0,0,0.227790433,3.189066059,0,0,0,0,0,0,0.683371298,0,0,0,0,0.911161731,0,0.683371298,0,0.455580866,0,0,0,0.911161731,0.683371298,0,0,0,0,100,97.72209567
