Depth,Age,StronglyCoproPct,TotalFungiPct
999.5,10081,0.362252103,1.449008412
1015.5,10204,0,0.438039614
1031.5,10324,0,0.449039265
1047.5,10475,0.687246507,1.145410846
1063.5,10638,1.3070128,4.792380265
1079.5,10795,0,0
1095.5,10950,0.606198206,1.616528551
1108.5,11099,0.776314021,2.070170722
1127.5,11519,1.018196482,1.527294723
1143.5,12106,0.832255979,1.456447964
1159.5,12711,0,0.725307545
1175.5,13327,0.749668288,0.999557718
1191.5,13857,0,0.752303931
1207.5,14474,0.638992537,0.638992537
1223.5,15094,5.89123867,5.89123867
1242.5,15747,2.30907637,3.078768493
1258.5,16200,1.706618423,1.706618423
1274.5,16575,8.580054399,12.01207616
1290.5,16965,2.868011109,3.824014812
1306.5,17353,24.93310397,28.49497597
1321.5,17513,19.42261263,25.89681683
1352.5,17881,2.52124183,2.52124183
1368.5,18052,2.946541583,2.946541583
