depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
846,7601,14,0.15,13.8,0.1218,8.9149,-8.7932,-11.2678,-11.5008,-11.7619,-11.5008,-9.91,,,0,0,0,0,0,0,2.8,,46,,,,,,,,,
847.18,7621,107,1,107,6.0954,8.8734,-2.7781,-10.9233,-11.1243,-11.3495,-11.1243,-9.7524,,,0,0,0,0,0,0,2.82,,,,,,,,,,,
848.32,7641,156,1,156,8.3702,8.8273,-0.4571,-10.5683,-10.7361,-10.9243,-10.7361,-9.5903,,,0,0,0,0,0,0,2.84,,,,,,,,,,,
849.39,7661,163,1,163.1,9.0611,8.7766,0.2845,-10.2023,-10.3359,-10.4857,-10.3359,-9.4236,,,0,0,0,0,0,0,2.86,,,,,,,,,,,
850.5,7681,143,1,143.3,7.165,8.7214,-1.5564,-9.8251,-9.9234,-10.0336,-9.9234,-9.2522,0,,0,0,0,0,0,0,2.87,,,,,,,,,,,
851.5,7701,169,1,168.5,7.6591,8.6619,-1.0028,-9.4368,-9.4986,-9.568,-9.4986,-9.0763,0,,0,0,0,0,0,0,2.89,,,,,,,,,,,
852.41,7721,192,1,192.15,9.2168,8.5986,0.6181,-9.0376,-9.0619,-9.0891,-9.0619,-8.896,0,,0,0,0,0,0,0,2.91,,,,,,,,,,,
853.37,7741,184,1,183.8,9.3052,8.5322,0.773,-8.6281,-8.6138,-8.5977,-8.6138,-8.7116,0,,0,0,0,0,0,0,2.94,,,,,,,,,,,
854.38,7761,186,1,185.85,8.85,8.4632,0.3868,-8.2089,-8.1549,-8.0944,-8.1549,-8.5236,0,,0,0,0,0,0,0,2.96,,,,,,,,,,,
855.33,7781,191,1,190.9,8.9665,8.3924,0.5741,-7.7809,-7.6863,-7.5802,-7.6863,-8.3323,0,,0,0,0,0,0,0,2.98,,,,,,,,,,,
856.27,7801,194,1,194,8.8182,8.3205, ,-7.3453,-7.2092,-7.0566,-7.2092,-8.1384,0,,0,0,0,0,0,0,3,,,,,,,,,,,
857.18,7821,226,1,225.5,10.2988,8.2484,2.0504,-6.9034,-6.7251,-6.5252,-6.7251,-7.9425,0,,0,0,0,0,0,0,3.02,,,,,,,,,,,
858.1,7841,218,1,218.05,10.4093,8.1768,2.2325,-6.457,-6.2359,-5.9881,-6.2359,-7.7455,0,,0,0,0,0,0,0,3.05,,,,,,,,,,,
859.05,7861,163,1,162.65,8.1325,8.1063,0.0262,-6.0083,-5.744,-5.4478,-5.744,-7.5484,0,,0,0,0,0,0,0,3.07,,,,,,,,,,,
860.05,7881,178,1,177.9,8.8546,8.0372,0.8173,-5.5596,-5.252,-4.9072,-5.252,-7.3522,0,,0,0,0,0,0,0,3.09,,,,,,,,,,,
861.05,7901,233,1,233,10.5909,7.9692,2.6217,-5.112,-4.761,-4.3676,-4.761,-7.1573,0,,0,0,0,0,0,0,3.12,,,,,,,,,,,
861.95,7921,205,1,204.5,9.2955,7.8995,1.3959,-4.6589,-4.2639,-3.8212,-4.2639,-6.9607,0,,0,0,0,0,0,0,3.14,,,,,,,,,,,
862.86,7941,189,1,189.4,8.9576,7.8184,1.1391,-4.172,-3.7296,-3.2336,-3.7296,-6.7504,0,,0,0,0,0,0,0,3.16,,,,,,,,,,,
863.81,7961,139,1,139,6.3784,7.7143,-1.336,-3.5752,-3.0705,-2.5049,-3.0705,-6.5157,0,,0,0,1,0,0,0,3.19,,,,,,,,,,,
864.73,7981,118,1,117.9,5.3591,7.5978,-2.2387,-2.9739,-2.4058,-1.7691,-2.4058,-6.2841,0,0,1,1,0,1,0,5510.2436,3.21,,,,,,,,,,,
865.64,8001,116,1,115.8,5.0005,7.4666,-2.4661,-2.3709,-1.7386,-1.0297,-1.7386,-6.0559,0,0.33,0,0,0,0,0,0,3.23,,,,,,,,,,,
866.5,8021,128,1,128.2,5.2562,7.3224,-2.0662,-1.7699,-1.0729,-0.2916,-1.0729,-5.8318,0,0.15,0,0,0,0,0,0,3.25,,,,,,,,,,,
867.32,8041,145,1,145.45,5.7844,7.1731,-1.3886,-1.1762,-0.4147,0.4388,-0.4147,-5.6133,0,0.88,0,0,0,0,0,0,3.28,204,,,,,,,,,,
868.12,8061,148,1,148,5.6923,7.0298,-1.3375,-0.5964,0.2285,1.153,0.2285,-5.4027,0,0.11,0,0,0,0,0,0,3.3,208,,,,,,,,,,
868.88,8081,153,1,153.1,6.5413,6.9034,-0.3621,-0.0383,0.848,1.8414,0.848,-5.2025,0,0.99,0,0,0,0,0,0,3.32,211,,,,,,,,,,
869.74,8101,177,1,177.1,8.2133,6.8739,1.3395,0.4896,1.4343,2.4933,1.4343,-5.0157,0,0.99,0,0,0,0,0,0,3.35,215,,,,,,,,,,
870.67,8121,193,1,192.85,8.912,6.8111,2.1009,0.9813,1.9815,3.1027,1.9815,-4.8474,0,0.96,1,1,0,1,0,2.3877,3.38,218,,,,,,,,,,
871.59,8141,141,1,141,6.7616,6.7802,-0.0186,1.4393,2.4942,3.6767,2.4942,-4.708,0,0.87,0,0,0,0,0,0,3.41,222,,,,,,,,,,
872.55,8161,136,1,135.6,6.2936,6.7849,-0.4913,1.8605,2.9699,4.2133,2.9699,-4.6038,0,0.92,0,0,0,0,0,0,3.43,226,,,,,,,,,,
873.48,8181,152,1,151.6,6.9868,6.8969,0.0899,2.2367,3.399,4.7018,3.399,-4.5363,0,0.87,0,0,0,0,0,0,3.46,230,,,,,,,,,,
874.4,8201,125,1,125,6.25,7.022,-0.772,2.5579,3.7697,5.128,3.7697,-4.5035,0,0.85,0,0,0,0,0,0,3.47,234,,,,,,,,,,
875.4,8221,134,1,134.4,6.4756,7.1519,-0.6762,2.8154,4.0709,5.4782,4.0709,-4.5005,0,0.83,0,0,0,0,0,0,3.49,238,,,,,,,,,,
876.36,8241,140,1,139.8,6.5452,7.2835,-0.7384,3.0085,4.3009,5.7495,4.3009,-4.5222,0,0.84,0,0,0,0,0,0,3.49,242,,,,,,,,,,
