Depth,Age,spike.conc,Pinaceae,Abies.undiff.,Picea.undiff.,Picea.glauca,Picea.mariana,Pinus.undiff.,Pinus.strobus,Pinus.resinosa,Pinus.banksiana,Quercus.rubra,Quercus.undiff.,Fagaceae,Salix.undiff.,Ulmus.undiff.,Carya,Fraxinus.nigra,Fraxinus.pennsylvanica,Fraxinus.americana,Fraxinus,Ambrosia,Iva,Asteraceae,Corylus,Acer.undiff.,Acer.negundo,Acer.saccharum,Acer.rubrum,Acer.saccharinum,Poaceae,Rumex,Cornaceae,Juglans.cinerea,Alnus,Cyperus,Ostrya.Carpinus,Brassicaceae,Betulaceae,Betula,Juglans.undiff.,Rosaceae,Artemisia,Nyssa,Populus,Lamiaceae,Polygonaceae,Salicaceae,Galium,Cornus,Triglochin,Myriophyllum,Tilia,Brassica,Chenopodiaceae.sensu.stricto,Carex,Liquidambar,Morus,Nuphar,Stellaria,Myrica,Alismataceae,Plantaginaceae,Polygonum,Vitis,Sagittaria,Amorpha,Saxifragaceae,Oleaceae,Arceuthobium,Cyperaceae,Stachys,Sagittaria.1,Juniperus,Ranunculaceae,Typha,Celastraceae,Ephedra,Lamiaceae.1,Cannabaceae,Arctostaphylos,Platanus,Haloragaceae,Caryophyllaceae,Humulus,Cephalanthus,Castanea,Potentilla,Fagus,Salsola,Xanthium,Shepherdia,Larix,Myriophyllum.1,Tsuga,Dryas,Celtis,Triglochin.1,Alnus.cf..A..viridis.subsp..crispa,Sium,Agoseris,Alnus.incana,Shepherdia.undiff.,Juglans.nigra,Lamiaceae.2,Thuja,Nymphaea,Thalictrum,Sanguisorba,Elaeagnaceae,Eupatorium,Ranunculaceae.1,Potamogeton,Unknown,Indeterminable,X0,Sporormiella..DF.,Podospora..DF.,Sordaria..DF.,Apiosporaceae,Glomus,Diporotheca,Chaetomiaceae,Trichoglossum,Didorotheca,Gelasinospora,Melicla.ellisii,Geoglossum,Didymosphaeria.massarioides,Valsaria,Cercophora..DF.,X0.1,Osmunda,Lycopodium,Equisetum,Cystopteris,Dryopteris,Pteridium,Dennstaedtia,Adiantum,Sphagnum,Athyrium,Selaginella,Trees.and.Shrubs,Upland.Herbs,Aquatic.Vascular.Plants,Fungi..DF.,Pteridophytes,Aquatic.Bryophytes,Pollen.Sum,TreesandShrubs,Upland.Herbs.1,Aquatic.Vascular.Plants.1,Fungi,Pteridophytes.1,Aquatic.Bryophytes.1,Pollen.Sum.1,Fungi...Pollen.Sum,Aquatics...Pollen.Sum,Total.Picea,TotalPinus,TotalQuercus,TotalFraxinus,TotalAcer
903.5,8809,50000,0,0,0.867052023,0,0,0.867052023,0,0,0,2.312138728,49.42196532,0.578034682,5.49132948,11.2716763,8.092485549,0.867052023,0.578034682,0,0,1.445086705,0.867052023,1.734104046,0,0.578034682,1.156069364,0,0,0.578034682,0.867052023,2.601156069,0.289017341,0.289017341,0.578034682,0.289017341,1.156069364,1.156069364,0.867052023,0.578034682,0.578034682,0.867052023,0.289017341,0.578034682,0.289017341,0.289017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289017341,1.734104046,0,0,0.289017341,0.289017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289017341,0.578034682,0.867052023,0,0,0,0,0,0,0,87.86127168,10.40462428,0,0.578034682,1.734104046,0,100,87.86127168,10.40462428,0,0.578034682,1.734104046,0,100,100.5780347,100,0.867052023,0.867052023,51.73410405,1.445086705,2.312138728
911.5,8987,50000,0,0,1.173020528,0,0,1.46627566,0,0.293255132,0,0.293255132,52.78592375,0,5.571847507,6.158357771,9.677419355,1.173020528,1.173020528,0.293255132,0,2.052785924,1.173020528,1.46627566,0,1.759530792,0.293255132,0.293255132,0,0,0.586510264,2.346041056,0.293255132,0.879765396,0.293255132,0.293255132,0.586510264,1.759530792,0,0,0,0,0,0.879765396,0,0,0.586510264,0.293255132,0.586510264,0.586510264,0.293255132,0.293255132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293255132,2.346041056,0,0,0,0.586510264,0.293255132,0,0,0,0,0,0,0,0,0,0,0,0,0.293255132,0.879765396,1.46627566,0.293255132,0,0,0,0,0,0,0,86.2170088,10.85043988,0.586510264,0.586510264,2.93255132,0,100,86.2170088,10.85043988,0.586510264,0.586510264,2.93255132,0,100,100.5865103,100.5865103,1.46627566,1.759530792,53.07917889,2.639296188,2.346041056
919.5,9151,50000,0,0,1.400560224,0,0,1.960784314,0.280112045,0,0,1.400560224,51.54061625,0.280112045,3.081232493,7.00280112,10.92436975,0.840336134,1.680672269,0,0,2.801120448,0,2.240896359,2.521008403,1.680672269,0.840336134,0,0,1.120448179,0.56022409,1.120448179,0.280112045,0.840336134,0,0,0.280112045,1.680672269,0.56022409,0,0,0,0,0.280112045,0,0,0.280112045,0,0.280112045,0.280112045,0,0,0.280112045,0.280112045,0.280112045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280112045,0.840336134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56022409,0,0.280112045,0.280112045,0,0,0,0,0,89.3557423,9.523809524,0,0,1.120448179,0,100,89.3557423,9.523809524,0,0,1.120448179,0,100,100,100,1.960784314,2.240896359,52.94117647,2.521008403,3.641456583
927.5,9327,50000,0,0,1.97740113,0,0,2.259887006,0,0,0,4.237288136,49.43502825,0,0.282485876,6.214689266,5.93220339,1.694915254,0.564971751,0,0,1.97740113,0,2.542372881,1.97740113,1.97740113,0.282485876,0,0,0,1.412429379,1.694915254,0.564971751,0.564971751,0,0,0.282485876,1.97740113,0.847457627,0.847457627,0,0,0.282485876,0.282485876,0,0,0,0,0.282485876,0.847457627,0,0,1.412429379,0,0.282485876,0.282485876,0.282485876,0.282485876,0.564971751,0.282485876,0.282485876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847457627,0.847457627,0,0.282485876,0.282485876,0.564971751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564971751,3.95480226,0.847457627,0.282485876,0,0,0,0,0,0,83.33333333,11.01694915,0.564971751,1.129943503,5.649717514,0,100,83.33333333,11.01694915,0.564971751,1.129943503,5.649717514,0,100,101.1299435,100.5649718,2.259887006,2.259887006,53.67231638,2.259887006,2.259887006
935.5,9508,50000,0,0.274725275,0.824175824,0,0,3.296703297,0,0,0,2.747252747,51.0989011,0.549450549,5.494505495,8.241758242,8.791208791,1.648351648,1.373626374,0,0,3.296703297,0,1.373626374,0.274725275,1.373626374,0,0,0,0.274725275,0.824175824,1.098901099,0.274725275,0,0,0,0.549450549,0.549450549,1.648351648,0.274725275,0.274725275,0,0,0.274725275,0.274725275,0.274725275,0,0,0.274725275,0,0,0,0.549450549,0,0.274725275,0,0.274725275,0,0,0,0.274725275,0.274725275,0.274725275,0.549450549,0.274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549450549,2.197802198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.20879121,8.791208791,0.274725275,0,0,0,100,91.20879121,8.791208791,0.274725275,0,0,0,100,100,100.2747253,3.296703297,3.296703297,53.84615385,3.021978022,1.648351648
943.5,9612,50000,0,0.579710145,1.739130435,0,0,2.608695652,0.579710145,0,0,3.768115942,50.72463768,0,1.449275362,6.956521739,5.217391304,1.15942029,0.289855072,0,0,3.188405797,0,0.869565217,2.31884058,1.15942029,0,0,0.289855072,0.289855072,0.869565217,0,1.739130435,0.289855072,0,0,1.449275362,0,2.31884058,0.579710145,0,0,0,0.579710145,0,0,1.449275362,0,0,0.579710145,0,0,0,0,0.289855072,0.289855072,0,0,0.289855072,0,0,0,0,0,0,0.289855072,0.289855072,0.289855072,1.449275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31884058,0,0,0,0.289855072,0,0.869565217,0,0,0,0,0,0,0,0,0,0,0,0,0.289855072,3.188405797,0.869565217,0,0,0,0,0,0,0,88.11594203,7.536231884,0.579710145,0.289855072,4.347826087,0,100,88.11594203,7.536231884,0.579710145,0.289855072,4.347826087,0,100,100.2898551,100.5797101,2.608695652,3.188405797,54.49275362,1.449275362,1.739130435
951.5,9675,50000,0,0,3.076923077,0,0,2.307692308,0,0,0,1.282051282,43.33333333,0,3.333333333,5.128205128,5.384615385,0.769230769,0.512820513,0,0,3.846153846,0,1.794871795,2.307692308,1.282051282,8.461538462,0,0.256410256,0.256410256,0.769230769,0.256410256,1.794871795,1.282051282,0,0,0.512820513,0.769230769,1.282051282,0.256410256,0,0,0.256410256,0.256410256,0.256410256,0,0.769230769,0,0,0.512820513,0,0,0.769230769,0,0.769230769,0,0.256410256,0,0,0,0,0,0,0,0,0,0,0,0,0.256410256,1.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.282051282,0,0,1.282051282,1.538461538,0,1.025641026,0,0,0,0,0,0,0,0,0,0,0,0.256410256,1.538461538,0.769230769,1.794871795,0.256410256,0,0,0,0,0,0,85.12820513,10.25641026,0,2.820512821,4.615384615,0,100,85.12820513,10.25641026,0,2.820512821,4.615384615,0,100,102.8205128,100,2.307692308,2.307692308,44.61538462,1.282051282,10.25641026
959.5,9744,50000,0,0.564971751,0.282485876,0,0,5.367231638,0,0.564971751,0,1.129943503,58.1920904,0,2.824858757,5.649717514,6.214689266,3.107344633,0,0,0,3.107344633,0,0.847457627,0.847457627,0.847457627,0.564971751,0.282485876,0,0,2.259887006,0,1.412429379,0,0,0,1.129943503,0,0,0.282485876,0,0,0,0,0,0,0,0,0,0,0,0,0.564971751,0,0,0,0.564971751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.412429379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129943503,1.129943503,0,0.564971751,0.564971751,0,0,0,0,0,0,90.39548023,6.214689266,0,0,3.389830508,0,100,90.39548023,6.214689266,0,0,3.389830508,0,100,100,100,5.367231638,5.93220339,59.3220339,3.107344633,1.694915254
967.5,9814,50000,0,1.126760563,1.971830986,0,0,2.816901408,0,0.281690141,0,1.690140845,50.14084507,0,3.098591549,6.478873239,5.352112676,1.408450704,0,0,0,4.507042254,0,0.845070423,3.098591549,2.253521127,0.281690141,0,0,0,1.971830986,0,1.690140845,0,0,0.281690141,1.408450704,0,0.281690141,0,0.845070423,0,0,0,0,0,0,0,0.281690141,1.126760563,0,0,0,0,0.281690141,0,0,0,0,0,0,0,0,0,0.281690141,0,0,0,0,0.281690141,0,0.563380282,0.281690141,0.563380282,0.281690141,0.281690141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281690141,0.845070423,0,0.845070423,1.126760563,3.098591549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281690141,0.845070423,1.126760563,1.408450704,0.281690141,0.563380282,0,0,0,0,0,86.47887324,9.014084507,0.563380282,5.070422535,4.507042254,0,100,86.47887324,9.014084507,0.563380282,5.070422535,4.507042254,0,100,105.0704225,100.5633803,2.816901408,3.098591549,51.83098592,1.408450704,2.535211268
975.5,9885,50000,0,0.584795322,4.093567251,0,0,0.877192982,0,0,0,2.923976608,45.90643275,0,1.169590643,7.894736842,3.216374269,4.970760234,0.292397661,0,0,5.555555556,0,2.339181287,0.877192982,3.801169591,0.584795322,0,0,0,0.292397661,0,0.584795322,0,0,0,1.754385965,0,0,1.754385965,0,0,0.584795322,0.292397661,1.461988304,0,0,0,0.292397661,1.169590643,0,0,0.877192982,0,1.169590643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292397661,1.169590643,0,0,0,0,0,0.292397661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461988304,0,0.292397661,0.877192982,0.292397661,0,0,0.292397661,0,0,0,0,0,0,0,0,0,0,0.292397661,0.292397661,1.169590643,1.169590643,0,0,0,0,0,0,0,85.67251462,11.40350877,0,1.461988304,2.923976608,0,100,85.67251462,11.40350877,0,1.461988304,2.923976608,0,100,101.4619883,100,0.877192982,0.877192982,48.83040936,5.263157895,4.385964912
