depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
60,11216,87,1,87,5.8,0.026,5.774,0.3132,0.4147,0.5286,0.4147,-0.2788,195.35,0.02,0,0,0,0,0,0,3.9,135,,,,,,,,,,
60.6,11225,68,1,67.67,5.0579,0.0256,5.0323,0.3044,0.4034,0.5142,0.4034,-0.272,189.14,0.02,0,0,0,0,0,0,3.88,135,,,,,,,,,,
61.27,11234,30,1,29.56,2.6229,0.0252,2.5977,0.2958,0.392,0.5,0.392,-0.2653,182.94,0.02,0,0,0,0,0,0,3.86,135,,,,,,,,,,
62.07,11243,34,1,34,2.4286,0.0248,2.4038,0.2871,0.3807,0.4857,0.3807,-0.2585,176.77,0.02,0,0,0,0,0,0,3.84,135,,,,,,,,,,
62.71,11252,27,1,26.78,1.9944,0.0244,1.97,0.2784,0.3693,0.4713,0.3693,-0.2517,170.65,0.02,0,0,0,0,0,0,3.82,135,,,,,,,,,,
63.38,11261,23,1,22.67,1.7298,0.024,1.7057,0.2695,0.3577,0.4567,0.3577,-0.2448,164.59,0.02,0,0,0,0,0,0,3.8,135,,,,,,,,,,
64.07,11270,36,1,36,2.5714,0.0236,2.5478,0.2604,0.3459,0.4417,0.3459,-0.2378,158.62,0.02,0,0,0,0,0,0,3.78,135,,,,,,,,,,
64.71,11279,34,1,34.33,2.6795,0.0232,2.6562,0.251,0.3336,0.4262,0.3336,-0.2305,152.77,0.02,0,0,0,0,0,0,3.76,135,,,,,,,,,,
65.42,11288,33,1,32.78,2.5797,0.0229,2.5569,0.241,0.3207,0.4099,0.3207,-0.2228,147.1,0.03,0,0,0,0,0,0,3.74,135,,,,,,,,,,
66.13,11297,32,1,32,2,0.0225,1.9775,0.2304,0.3068,0.3925,0.3068,-0.2147,141.67,0.03,0,0,0,0,0,0,3.72,135,,,,,,,,,,
66.69,11306,24,1,24.44,1.573,0.0221,1.551,0.2189,0.2918,0.3735,0.2918,-0.2059,136.6,0.03,0,0,0,0,0,0,3.7,135,,,,,,,,,,
67.27,11315,15,1,15,1,0.0217,0.9783,0.206,0.2749,0.3523,0.2749,-0.1961,132.01,0.03,0,1,1,1,0,551.194,3.68,135,,,,,,,,,,
67.87,11324,4,1,4.11,0.2608,0.0213,0.2394,0.1912,0.2558,0.3281,0.2558,-0.185,128.12,0.03,1,0,0,0,0,0,3.66,135,,,,,,,,,,
68.44,11333,1,1,1,0.0625,0.021,0.0415,0.1742,0.2336,0.3002,0.2336,-0.1722,125.16,0.03,0,0,0,0,0,0,3.64,135,,,,,,,,,,
69,11342,8,1,8,0.5714,0.0206,0.5508,0.1544,0.208,0.268,0.208,-0.1575,123.31,0.03,0,0,0,0,0,0,3.62,135,,,,,,,,,,
69.64,11351,7,1,7.11,0.4929,0.0203,0.4726,0.1398,0.1888,0.2438,0.1888,-0.1461,121.95,0.05,0,0,0,0,0,0,3.6,135,,,,,,,,,,
70.27,11360,6,1,6,0.4,0.0199,0.3801,0.1253,0.1699,0.2199,0.1699,-0.1348,120.8,0.05,0,0,0,0,0,0,3.58,135,,,,,,,,,,
70.87,11369,8,1,8.33,0.7716,0.0195,0.7521,0.1112,0.1515,0.1967,0.1515,-0.1237,119.8,0.06,0,0,0,0,0,0,3.56,135,,,,,,,,,,
71.7,11378,8,1,8.33,0.8333,0.0192,0.8141,0.0977,0.1339,0.1745,0.1339,-0.1131,118.86,0.07,0,0,0,0,0,0,3.54,135,,,,,,,,,,
72.6,11387,6,1,5.78,0.5243,0.0188,0.5054,0.0852,0.1175,0.1537,0.1175,-0.1031,117.92,0.08,0,0,0,0,0,0,3.52,135,,,,,,,,,,
73.42,11396,8,1,8.22,0.6852,0.0185,0.6667,0.0737,0.1025,0.1347,0.1025,-0.0939,116.9,0.01,0,0,0,0,0,0,3.5,135,,,,,,,,,,
74.17,11405,23,1,23,1.9167,0.0182,1.8985,0.0635,0.0891,0.1178,0.0891,-0.0856,115.76,0,0,0,0,0,0,0,3.48,135,,,,,,,,,,
74.92,11414,12,1,12.33,0.8451,0.0178,0.8272,0.0547,0.0775,0.1031,0.0775,-0.0782,114.45,0,0,0,0,0,0,0,3.46,135,,,,,,,,,,
75.53,11423,11,1,10.56,0.7037,0.0175,0.6862,0.0475,0.068,0.0909,0.068,-0.072,112.96,0,0,0,0,0,0,0,3.44,135,,,,,,,,,,
76.13,11432,9,1,9,0.6,0.0171,0.5829,0.0417,0.0603,0.0812,0.0603,-0.0668,111.3,0,0,0,0,0,0,0,3.42,135,,,,,,,,,,
76.73,11441,13,1,12.89,0.8593,0.0168,0.8424,0.0374,0.0546,0.0738,0.0546,-0.0626,109.5,0,0,0,0,0,0,0,3.4,135,,,,,,,,,,
77.33,11450,16,1,16,1.0667,0.0165,1.0502,0.0345,0.0506,0.0686,0.0506,-0.0594,107.58,0,0,0,0,0,0,0,3.38,135,,,,,,,,,,
77.93,11459,106,1,105.78,7.0519,0.0162,7.0357,0.0326,0.048,0.0653,0.048,-0.0571,105.59,0,0,0,0,0,0,0,3.36,135,,,,,,,,,,
78.53,11468,103,1,103.22,6.9907,0.0158,6.9749,0.0317,0.0467,0.0635,0.0467,-0.0554,103.54,0,0,0,0,0,0,0,3.33,135,,,,,,,,,,
79.14,11477,55,1,55,3.9286,0.0155,3.9131,0.0316,0.0463,0.0628,0.0463,-0.0543,101.49,0,0,0,0,0,0,0,3.31,135,,,,,,,,,,
79.79,11486,18,1,18.33,1.2513,0.0152,1.2361,0.032,0.0466,0.0631,0.0466,-0.0536,99.48,0,1,1,1,1,0,688.2296,3.28,135,,,,,,,,,,
80.4,11495,0,1,0,0,0.0149,-0.0149,0.0326,0.0473,0.0638,0.0473,-0.0531,97.55,0,0,0,0,0,0,0,3.26,135,,,,,,,,,,
81,11504,0,1,0,0,0.0146,-0.0146,0.0334,0.0482,0.0648,0.0482,-0.0528,95.72,0.01,0,0,0,0,0,0,3.23,135,,,,,,,,,,
81.56,11513,0,1,0,0,0.0142,-0.0142,0.0343,0.0493,0.066,0.0493,-0.0526,94.03,0.01,0,0,0,0,0,0,3.21,135,,,,,,,,,,
82.14,11522,0,1,0,0,0.0139,-0.0139,0.0353,0.0503,0.0672,0.0503,-0.0524,92.49,0.01,0,0,0,0,0,0,3.18,135,,,,,,,,,,
82.79,11531,0,1,0,0,0.0136,-0.0136,0.0362,0.0514,0.0684,0.0514,-0.0522,91.1,0.02,0,0,0,0,0,0,3.16,135,,,,,,,,,,
83.6,11540,0,1,0,0,0.0133,-0.0133,0.0371,0.0524,0.0695,0.0524,-0.0521,89.84,0.02,0,0,0,0,0,0,3.13,135,,,,,,,,,,
84.42,11549,0,1,0.22,0.0185,0.013,0.0055,0.0379,0.0534,0.0706,0.0534,-0.0519,88.7,0.02,0,0,0,0,0,0,3.11,135,,,,,,,,,,
85.17,11558,1,1,1,0.0833,0.0127,0.0706,0.0388,0.0543,0.0717,0.0543,-0.0518,87.66,0.01,0,0,0,0,0,0,3.08,135,,,,,,,,,,
85.92,11567,1,1,1,0.0776,0.0124,0.0652,0.0395,0.0552,0.0727,0.0552,-0.0517,86.7,0.01,0,0,0,0,0,0,3.06,135,,,,,,,,,,
86.62,11576,1,1,1.44,0.1111,0.0121,0.099,0.0402,0.056,0.0736,0.056,-0.0515,85.8,0,0,0,0,0,0,0,3.03,135,,,,,,,,,,
87.31,11585,2,1,2,0.1538,0.0118,0.1421,0.0409,0.0567,0.0744,0.0567,-0.0513,84.95,0,1,1,1,1,0,1.8579,3,135,,,,,,,,,,
88,11594,0,1,0,0,0.0115,-0.0115,0.0414,0.0573,0.0751,0.0573,-0.0512,84.13,0,0,0,0,0,0,0,2.98,135,,,,,,,,,,
88.6,11603,0,1,0,0,0.0112,-0.0112,0.0419,0.0578,0.0756,0.0578,-0.0509,83.33,0,0,0,0,0,0,0,2.95,135,,,,,,,,,,
89.18,11612,0,1,0,0,0.0109,-0.0109,0.0422,0.0582,0.0761,0.0582,-0.0507,82.55,0,0,0,0,0,0,0,2.92,135,,,,,,,,,,
89.71,11621,0,1,0,0,0.0106,-0.0106,0.0425,0.0585,0.0763,0.0585,-0.0503,81.76,0,0,0,0,0,0,0,2.9,135,,,,,,,,,,
90.24,11630,0,1,0,0,0.0103,-0.0103,0.0427,0.0586,0.0764,0.0586,-0.05,80.97,0,0,0,0,0,0,0,2.87,135,,,,,,,,,,
90.76,11639,0,1,0,0,0.01,-0.01,0.0428,0.0586,0.0764,0.0586,-0.0496,80.16,0,0,0,0,0,0,0,2.84,135,,,,,,,,,,
92.96,11648,0,1,0,0,0.0097,-0.0097,0.0427,0.0585,0.0762,0.0585,-0.0492,79.32,0,0,0,0,0,0,0,2.81,135,,,,,,,,,,
96.48,11657,0,1,0,0,0.0094,-0.0094,0.0426,0.0583,0.0758,0.0583,-0.0487,78.46,0,0,0,0,0,0,0,2.78,135,,,,,,,,,,
100,11666,0,1,0,0,0.0091,-0.0091,0.0424,0.0579,0.0753,0.0579,-0.0481,77.56,0,0,0,0,0,0,0,2.76,135,,,,,,,,,,
100.47,11675,0,1,0,0,0.0088,-0.0088,0.0421,0.0574,0.0747,0.0574,-0.0475,76.61,0,0,0,0,0,0,0,2.73,135,,,,,,,,,,
100.95,11684,1,1,0.89,0.0468,0.0086,0.0382,0.0416,0.0568,0.0739,0.0568,-0.0469,75.63,0,0,0,0,0,0,0,2.69,135,,,,,,,,,,
101.42,11693,1,1,1,0.0526,0.0083,0.0444,0.0411,0.0561,0.0729,0.0561,-0.0462,74.6,0,0,0,0,0,0,0,2.66,135,,,,,,,,,,
101.89,11702,0,1,0.22,0.0122,0.008,0.0042,0.0406,0.0553,0.0719,0.0553,-0.0454,73.52,0,0,0,0,0,0,0,2.63,135,,,,,,,,,,
102.39,11711,0,1,0,0,0.0077,-0.0077,0.0399,0.0544,0.0707,0.0544,-0.0447,72.39,0,0,0,0,0,0,0,2.6,135,,,,,,,,,,
102.89,11720,0,1,0,0,0.0074,-0.0074,0.0392,0.0535,0.0694,0.0535,-0.0439,71.21,0,0,0,0,0,0,0,2.57,135,,,,,,,,,,
103.26,11729,0,1,0,0,0.0071,-0.0071,0.0384,0.0524,0.0681,0.0524,-0.0431,69.98,0,0,0,0,0,0,0,2.53,135,,,,,,,,,,
103.59,11738,0,1,0,0,0.0068,-0.0068,0.0376,0.0513,0.0667,0.0513,-0.0422,68.7,0,0,0,0,0,0,0,2.5,,,,,,,,,,,
103.93,11747,1,1,0.78,0.0327,0.0065,0.0262,0.0368,0.0502,0.0652,0.0502,-0.0413,67.39,0,0,0,0,0,0,0,2.46,,,,,,,,,,,
104.3,11756,1,1,1,0.0435,0.0063,0.0372,0.0359,0.049,0.0637,0.049,-0.0405,66.03,0,0,0,0,0,0,0,2.43,,,,,,,,,,,
104.7,11765,1,1,1,0.0424,0.006,0.0364,0.035,0.0478,0.0622,0.0478,-0.0396,64.65,0,0,0,0,0,0,0,2.39,,,,,,,,,,,
105.08,11774,1,1,1,0.0385,0.0057,0.0328,0.0341,0.0466,0.0606,0.0466,-0.0387,63.25,0,0,0,0,0,0,0,2.35,,,,,,,,,,,
105.42,11783,1,1,1,0.0385,0.0054,0.033,0.0331,0.0453,0.059,0.0453,-0.0378,61.84,0,0,0,0,0,0,0,2.31,,,,,,,,,,,
105.77,11792,1,1,1,0.039,0.0051,0.0338,0.0322,0.044,0.0573,0.044,-0.0369,60.42,0,0,0,0,0,0,0,2.27,,,,,,,,,,,
106.12,11801,1,1,1,0.04,0.0049,0.0351,0.0312,0.0428,0.0557,0.0428,-0.0359,59,0,0,0,0,0,0,0,2.23,,,,,,,,,,,
106.48,11810,1,1,1,0.04,0.0046,0.0354,0.0303,0.0415,0.054,0.0415,-0.035,57.58,0,0,0,0,0,0,0,2.19,,,,,,,,,,,
106.84,11819,0,1,0.44,0.0191,0.0043,0.0148,0.0293,0.0402,0.0524,0.0402,-0.0341,56.18,0,0,0,0,0,0,0,2.15,,,,,,,,,,,
107.23,11828,0,1,0,0,0.0041,-0.0041,0.0284,0.0389,0.0508,0.0389,-0.0332,54.78,0,0,0,0,0,0,0,2.11,,,,,,,,,,,
107.64,11837,0,1,0.11,0.0049,0.0038,0.0011,0.0274,0.0377,0.0492,0.0377,-0.0323,53.39,0,0,0,0,0,0,0,2.07,,,,,,,,,,,
108.03,11846,1,1,1,0.0333,0.0036,0.0298,0.0265,0.0364,0.0475,0.0364,-0.0314,52.01,0,0,0,0,0,0,0,2.03,,,,,,,,,,,
108.33,11855,1,1,1,0.0333,0.0033,0.03,0.0255,0.0352,0.0459,0.0352,-0.0305,50.64,0,0,0,0,0,0,0,1.99,,,,,,,,,,,
108.63,11864,1,1,1,0.0333,0.0031,0.0302,0.0246,0.0339,0.0443,0.0339,-0.0296,49.28,0,0,0,0,0,0,0,1.94,,,,,,,,,,,
108.93,11873,0,1,0.22,0.0067,0.0029,0.0039,0.0237,0.0327,0.0427,0.0327,-0.0286,47.91,0,0,0,0,0,0,0,1.9,,,,,,,,,,,
109.21,11882,0,1,0,0,0.0027,-0.0027,0.0227,0.0314,0.0411,0.0314,-0.0277,46.56,0,0,0,0,0,0,0,1.85,,,,,,,,,,,
109.47,11891,0,1,0,0,0.0025,-0.0025,0.0218,0.0302,0.0395,0.0302,-0.0268,45.21,0,0,0,0,0,0,0,1.81,,,,,,,,,,,
109.74,11900,0,1,0,0,0.0023,-0.0023,0.0209,0.0289,0.0379,0.0289,-0.0259,43.87,0,0,0,0,0,0,0,1.77,,,,,,,,,,,
110,11909,0,1,0,0,0.0021,-0.0021,0.02,0.0277,0.0363,0.0277,-0.0249,42.54,0,0,0,0,0,0,0,1.72,,,,,,,,,,,
110.29,11918,0,1,0,0,0.0019,-0.0019,0.019,0.0264,0.0347,0.0264,-0.024,41.22,0,0,0,0,0,0,0,1.68,,,,,,,,,,,
110.58,11927,0,1,0,0,0.0018,-0.0018,0.0181,0.0252,0.0331,0.0252,-0.023,39.92,0,0,0,0,0,0,0,1.63,,,,,,,,,,,
110.87,11936,0,1,0,0,0.0017,-0.0017,0.0172,0.0239,0.0314,0.0239,-0.022,38.64,0,0,0,0,0,0,0,1.59,,,,,,,,,,,
111.14,11945,0,1,0,0,0.0016,-0.0016,0.0162,0.0226,0.0298,0.0226,-0.021,37.39,0,0,0,0,0,0,0,1.54,,,,,,,,,,,
111.38,11954,0,1,0,0,0.0015,-0.0015,0.0153,0.0214,0.0282,0.0214,-0.02,36.2,0,0,0,0,0,0,0,1.49,,,,,,,,,,,
111.62,11963,0,1,0,0,0.0014,-0.0014,0.0144,0.0201,0.0266,0.0201,-0.019,35.06,0,0,0,0,0,0,0,1.45,,,,,,,,,,,
111.86,11972,0,1,0,0,0.0013,-0.0013,0.0135,0.0189,0.025,0.0189,-0.018,33.99,0,0,0,0,0,0,0,1.4,,,,,,,,,,,
112.13,11981,0,1,0,0,0.0012,-0.0012,0.0126,0.0177,0.0234,0.0177,-0.017,33.02,0,0,0,0,0,0,0,1.36,,,,,,,,,,,
112.41,11990,0,1,0,0,0.0012,-0.0012,0.0117,0.0164,0.0218,0.0164,-0.016,32.15,0.01,0,0,0,0,0,0,1.32,,,,,,,,,,,
112.69,11999,0,1,0,0,0.0011,-0.0011,0.0108,0.0152,0.0202,0.0152,-0.0151,31.41,0.01,0,0,0,0,0,0,1.27,,,,,,,,,,,
112.97,12008,0,1,0,0,0.0011,-0.0011,0.0099,0.014,0.0187,0.014,-0.0141,30.82,0.01,0,0,0,0,0,0,1.23,,,,,,,,,,,
113.19,12017,0,1,0,0,0.001,-0.001,0.0091,0.0129,0.0171,0.0129,-0.0131,30.39,0.01,0,0,0,0,0,0,1.18,,,,,,,,,,,
113.4,12026,0,1,0,0,0.0009,-0.0009,0.0082,0.0117,0.0157,0.0117,-0.0121,30.14,0.01,0,0,0,0,0,0,1.14,,,,,,,,,,,
113.62,12035,0,1,0,0,0.0009,-0.0009,0.0074,0.0106,0.0142,0.0106,-0.0112,30.1,0,0,0,0,0,0,0,1.1,,,,,,,,,,,
113.83,12044,0,1,0,0,0.0008,-0.0008,0.0067,0.0096,0.0129,0.0096,-0.0103,30.27,0,0,0,0,0,0,0,1.05,,,,,,,,,,,
114.04,12053,0,1,0,0,0.0007,-0.0007,0.006,0.0086,0.0115,0.0086,-0.0094,30.67,0,0,0,0,0,0,0,1.01,,,,,,,,,,,
114.23,12062,0,1,0,0,0.0007,-0.0007,0.0053,0.0076,0.0103,0.0076,-0.0086,31.32,0,0,0,0,0,0,0,0.97,,,,,,,,,,,
114.42,12071,0,1,0,0,0.0006,-0.0006,0.0046,0.0067,0.0091,0.0067,-0.0078,32.23,0,0,0,0,0,0,0,0.93,,,,,,,,,,,
114.6,12080,0,1,0,0,0.0006,-0.0006,0.004,0.0059,0.008,0.0059,-0.007,33.41,0,0,0,0,0,0,0,0.89,,,,,,,,,,,
114.79,12089,0,1,0,0,0.0005,-0.0005,0.0035,0.0052,0.007,0.0052,-0.0063,34.89,0,0,0,0,0,0,0,0.85,,,,,,,,,,,
114.98,12098,0,1,0,0,0.0005,-0.0005,0.003,0.0045,0.0061,0.0045,-0.0057,36.66,0,0,0,0,0,0,0,0.81,,,,,,,,,,,
115.21,12107,0,1,0,0,0.0004,-0.0004,0.0026,0.0039,0.0053,0.0039,-0.0051,38.76,0,0,0,0,0,0,0,0.77,,,,,,,,,,,
115.44,12116,0,1,0,0,0.0004,-0.0004,0.0022,0.0033,0.0046,0.0033,-0.0046,41.2,0,0,0,0,0,0,0,0.73,,,,,,,,,,,
115.67,12125,0,1,0,0,0.0003,-0.0003,0.0019,0.0029,0.0041,0.0029,-0.0042,44,0,0,0,0,0,0,0,0.7,,,,,,,,,,,
115.9,12134,0,1,0,0,0.0003,-0.0003,0.0016,0.0025,0.0036,0.0025,-0.0038,47.17,0,0,0,0,0,0,0,0.66,,,,,,,,,,,
116.17,12143,0,1,0,0,0.0002,-0.0002,0.0014,0.0022,0.0032,0.0022,-0.0035,50.71,0,0,0,0,0,0,0,0.63,,,,,,,,,,,
116.48,12152,0,1,0,0,0.0002,-0.0002,0.0012,0.002,0.0029,0.002,-0.0032,54.6,0,0,0,0,0,0,0,0.59,,,,,,,,,,,
116.79,12161,0,1,0,0,0.0002,-0.0002,0.0011,0.0018,0.0026,0.0018,-0.003,58.82,0,0,0,0,0,0,0,0.56,,,,,,,,,,,
117.09,12170,0,1,0,0,0.0002,-0.0002,0.0011,0.0017,0.0025,0.0017,-0.0029,63.4,0,0,0,0,0,0,0,0.53,,,,,,,,,,,
117.35,12179,0,1,0,0,0.0001,-0.0001,0.001,0.0017,0.0024,0.0017,-0.0027,68.37,0,0,0,0,0,0,0,0.5,,,,,,,,,,,
117.62,12188,0,1,0,0,0.0001,-0.0001,0.001,0.0016,0.0023,0.0016,-0.0026,73.76,0,0,0,0,0,0,0,0.47,,,,,,,,,,,
117.88,12197,0,1,0,0,0.0001,-0.0001,0.001,0.0016,0.0023,0.0016,-0.0025,79.64,0,0,0,0,0,0,0,0.44,,,,,,,,,,,
118.19,12206,0,1,0,0,0.0001,-0.0001,0.001,0.0016,0.0023,0.0016,-0.0025,86.04,0,0,0,0,0,0,0,0.41,,,,,,,,,,,
118.52,12215,0,1,0,0,0.0001,-0.0001,0.001,0.0016,0.0023,0.0016,-0.0025,93.01,0,0,0,0,0,0,0,0.38,,,,,,,,,,,
118.85,12224,0,1,0,0,0.0001,-0.0001,0.0011,0.0017,0.0024,0.0017,-0.0024,100.55,0,0,0,0,0,0,0,0.35,,,,,,,,,,,
119.16,12233,0,1,0,0,0.0001,-0.0001,0.0012,0.0018,0.0025,0.0018,-0.0025,108.6,0,0,0,0,0,0,0,0.33,,,,,,,,,,,
119.44,12242,0,1,0,0,0.0001,-0.0001,0.0013,0.0019,0.0027,0.0019,-0.0025,117.1,0,0,0,0,0,0,0,0.3,,,,,,,,,,,
119.72,12251,0,1,0,0,0.0001,-0.0001,0.0014,0.0021,0.0029,0.0021,-0.0026,125.95,0,0,0,0,0,0,0,0.28,,,,,,,,,,,
120,12260,0,1,0,0,0.0001,-0.0001,0.0016,0.0024,0.0032,0.0024,-0.0027,135.03,0,0,0,0,0,0,0,0.26,,,,,,,,,,,
120.24,12269,0,1,0,0,0.0001,-0.0001,0.0019,0.0027,0.0036,0.0027,-0.0029,144.24,0,0,0,0,0,0,0,0.24,,,,,,,,,,,
120.47,12278,0,1,0,0,0.0001,-0.0001,0.0022,0.0031,0.0041,0.0031,-0.0031,153.45,0,0,0,0,0,0,0,0.22,,,,,,,,,,,
120.71,12287,0,1,0,0,0.0002,-0.0002,0.0026,0.0036,0.0047,0.0036,-0.0033,162.57,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
120.95,12296,0,1,0,0,0.0002,-0.0002,0.003,0.0042,0.0055,0.0042,-0.0036,171.47,0,0,0,0,0,0,0,0.18,,,,,,,,,,,
121.18,12305,0,1,0,0,0.0002,-0.0002,0.0036,0.0049,0.0063,0.0049,-0.004,180.07,0,0,0,0,0,0,0,0.16,,,,,,,,,,,
121.42,12314,0,1,0,0,0.0002,-0.0002,0.0042,0.0056,0.0073,0.0056,-0.0044,188.3,0,0,0,0,0,0,0,0.14,,,,,,,,,,,
121.66,12323,0,1,0,0,0.0002,-0.0002,0.0048,0.0065,0.0084,0.0065,-0.0049,196.11,0,0,0,0,0,0,0,0.13,,,,,,,,,,,
121.89,12332,0,1,0,0,0.0002,-0.0002,0.0056,0.0075,0.0096,0.0075,-0.0054,203.55,0,0,0,0,0,0,0,0.11,,,,,,,,,,,
122.15,12341,0,1,0,0,0.0002,-0.0002,0.0064,0.0085,0.0109,0.0085,-0.006,210.64,0,0,0,0,0,0,0,0.1,,,,,,,,,,,
122.42,12350,0,1,0,0,0.0002,-0.0002,0.0072,0.0096,0.0123,0.0096,-0.0066,217.43,0,0,0,0,0,0,0,0.09,,,,,,,,,,,
122.7,12359,0,1,0,0,0.0002,-0.0002,0.0081,0.0108,0.0138,0.0108,-0.0073,223.92,0,0,0,0,0,0,0,0.08,,,,,,,,,,,
122.97,12368,0,1,0,0,0.0002,-0.0002,0.0091,0.012,0.0153,0.012,-0.008,230.1,0,0,0,0,0,0,0,0.07,,,,,,,,,,,
123.33,12377,0,1,0,0,0.0002,-0.0002,0.0101,0.0133,0.0169,0.0133,-0.0087,235.98,0,0,0,0,0,0,0,0.06,,,,,,,,,,,
123.71,12386,0,1,0,0,0.0002,-0.0002,0.0111,0.0147,0.0186,0.0147,-0.0094,241.53,0,0,0,0,0,0,0,0.05,,,,,,,,,,,
124.09,12395,0,1,0,0,0.0002,-0.0002,0.0122,0.016,0.0204,0.016,-0.0102,246.73,0,0,0,0,0,0,0,0.04,,,,,,,,,,,
124.5,12404,0,1,0,0,0.0002,-0.0002,0.0133,0.0175,0.0222,0.0175,-0.011,251.57,0,0,0,0,0,0,0,0.03,,,,,,,,,,,
124.91,12413,1,1,0.78,0.0367,0.0002,0.0364,0.0145,0.019,0.024,0.019,-0.0119,256.02,0,0,0,0,0,0,0,0.03,,,,,,,,,,,
125.33,12422,1,1,1,0.0476,0.0002,0.0474,0.0156,0.0205,0.026,0.0205,-0.0127,260.06,0,0,0,0,0,0,0,0.02,,,,,,,,,,,
125.76,12431,1,1,0.56,0.0265,0.0002,0.0262,0.0168,0.0221,0.0279,0.0221,-0.0136,263.73,0,0,0,0,0,1,0.5331,0.02,,,,,,,,,,,
126.19,12440,0,1,0,0,0.0002,-0.0002,0.0181,0.0237,0.0299,0.0237,-0.0145,267.08,0,0,0,0,0,0,0,0.01,,,,,,,,,,,
126.62,12449,0,1,0.11,0.0053,0.0002,0.005,0.0193,0.0253,0.032,0.0253,-0.0154,270.16,0,0,0,0,0,0,0,0.01,,,,,,,,,,,
127.05,12458,1,1,1,0.0455,0.0002,0.0452,0.0206,0.0269,0.034,0.0269,-0.0163,273.07,0,0,0,0,0,0,0,0.01,,,,,,,,,,,
