Depth,Age,Abies,Picea,Pinus.undiff,Pinus.sub..Pinus,Pinus.sub..Strobus,Tsuga,Acer.saccharum,Acer.rubrum,Acer.undiff,Acer.saccharinum,Alnus.rugosa,Betula,Carya,Castanea,Cephalanthus,Cornus,Corylus,Cupressaceae,Fagus,Fraxinus.undifferentiated,Fraxinus.nigra,Fraxinus.pennsylvanica,Juglans,Larix,Liquidambar,Morus,Myricaceae,Nyssa,Ostrya.Carpinus.type,Planera,Platanus,Populus,Quercus,Salix,Tilia,Ulmus,Ambrosia.type,Apiaceae,Araliaceae,Arceuthobium,Artemisia,Total.Asteraceae,Brassicaceae,Campanula,Caryophyllaceae,Chenopodiaceae,Cyperaceae,Epilobium,Equisetum,Fabaceae,Gallium,Lamiaceae,Nuphar,Nymphea,Magnolia.Liliaceae,Mentha,Menyathes,Myriophyllum,Onagraceae,Pediastrum.spp,Plantaginaceae,Poaceae,Polemonium,Polygonaceae,Potentilla,Prunella,Rosaceae,Ranunculaceae,Rumex,Sagittaria,Sparganium,Stellaria,Thalictrum,Typha,Urtica,Marker,Upland.Pollen.Sum,TreesandShrubs,Aquatic,Upland.Herbs,Total.Pinus
60,11216,0,0.421940928,1.476793249,0.421940928,0,0,4.641350211,0,0.210970464,0.210970464,0,0,5.274261603,0.421940928,0.632911392,0,0.421940928,0.210970464,0,0,1.687763713,0,0,0,0.843881857,0,0,0.421940928,0,0,0,0.421940928,51.68776371,2.109704641,0,0,3.797468354,0,0,0,0.210970464,1.265822785,0,0,0,0,6.751054852,0,0,0.210970464,0,0,0,0,0,0,0,0,0,0,0,8.64978903,0,2.320675105,0,0,2.53164557,0,0,0.843881857,0,0,0.421940928,2.109704641,0.210970464,2.953586498,100,71.51898734,1.265822785,27.21518987,1.898734177
65,11283,0,0.105485232,0.210970464,0,0,0,4.430379747,0,0.421940928,0,0,0.632911392,6.329113924,0,0.632911392,0,0,0,0,0,1.265822785,0,0,0.210970464,0.843881857,0,0,0.421940928,0.210970464,0.210970464,0,1.054852321,55.69620253,1.265822785,0,0.210970464,5.485232068,0.210970464,0,0,0,1.054852321,0,0,0,0,4.008438819,0.210970464,0,0.210970464,0,0,0.210970464,0,0,0,0,0,0,0,0.421940928,10.12658228,0,0.632911392,0,0,3.375527426,0,0,1.898734177,4.641350211,0,0.210970464,1.898734177,0.210970464,5.485232068,102.2151899,74.15611814,2.320675105,25.73839662,0.210970464
70,11356,0,0.210970464,0.52742616,0,0,0,1.898734177,0,0.210970464,0,0,0,5.274261603,0,0.421940928,0,0.421940928,0,0,0,0.421940928,0,0.421940928,0,0.632911392,0,0,1.054852321,0.843881857,0.421940928,0,1.898734177,55.69620253,0.210970464,0,0,4.008438819,0,0,0,0,1.054852321,0,0,0,0.210970464,1.265822785,0.210970464,0,0,0,0,0,0,0,0,0,0,0,0,0,6.540084388,0,0,0,0,1.898734177,0,0,0,0,0,0.210970464,0,0,6.751054852,85.97046414,70.56962025,0.210970464,15.18987342,0.52742616
75,11415,0,1.371308017,0.421940928,0,0,0,1.265822785,0,0,0,0,0.421940928,5.485232068,0,0.843881857,0,3.164556962,0,0.210970464,0,1.054852321,0,1.265822785,0,0.210970464,0.210970464,0,0,5.274261603,0.843881857,0,0.632911392,40.50632911,0.632911392,0,0.843881857,8.860759494,0,0,0,0.210970464,3.797468354,0,0,0,0,2.742616034,0,0,0,0,0,0.843881857,0,0,0,0,0,0,0,0,5.907172996,0,0.210970464,0,0,1.054852321,0,0,1.265822785,0.632911392,0,0.421940928,0.210970464,0.843881857,4.219409283,88.92405063,64.66244726,2.53164557,21.72995781,0.421940928
80,11489,0,1.476793249,0.52742616,0,0,0,1.265822785,0,0,0,0,1.265822785,5.274261603,0,1.054852321,0,8.64978903,0,0,0,1.898734177,0,0.632911392,0,0.210970464,0,0,0,4.641350211,0.210970464,0,0.843881857,35.23206751,1.054852321,0,0.210970464,10.54852321,0,0,0,0.210970464,2.320675105,0,0,0,0,2.953586498,0.210970464,0,0,0,1.054852321,0.632911392,0,0,0,0,0,0,0,0,3.375527426,0,0,0,0,1.476793249,0,0,4.430379747,0,0,0.210970464,0.421940928,1.265822785,2.320675105,88.5021097,64.45147679,5.274261603,18.77637131,0.52742616
85,11556,0,2.742616034,1.265822785,0,0,0,1.476793249,0,0,0,0,0.843881857,9.282700422,0.210970464,0,0,14.1350211,0,0.210970464,0,1.476793249,0,0,0.210970464,0.210970464,0,0.210970464,0.210970464,6.11814346,0,0,0.421940928,30.37974684,0.632911392,0.210970464,1.265822785,10.54852321,0,0,0,0.421940928,0.843881857,0,0,0,0,1.476793249,0,0,0,0,0.210970464,1.265822785,0,0,0,0,0,0,0,0,1.898734177,0,0,0,0,0.843881857,0,0,0.843881857,0,0,0.210970464,0.210970464,0.632911392,3.58649789,88.8185654,71.51898734,2.320675105,14.97890295,1.265822785
90,11626,0,8.755274262,1.476793249,0,0,0,2.109704641,0,2.53164557,0.421940928,0,2.320675105,10.12658228,0,0,0,11.39240506,0,0.210970464,0,3.164556962,0,0.210970464,0,0,0,0,0,8.438818565,0,0,0,16.24472574,1.054852321,0.421940928,0,12.23628692,0,0,0,0,2.109704641,0,0,0,0.632911392,4.008438819,0.210970464,0,0,0,0,2.320675105,0,0,0,0,0,0,0,0,3.164556962,0,0.210970464,0,0,0,0,0,0,0,0,0,0.210970464,3.58649789,2.320675105,95.25316456,68.88185654,2.320675105,24.05063291,1.476793249
91,11643,0.210970464,7.594936709,0.843881857,0,0,0,0.421940928,0,2.742616034,0,0.210970464,0.421940928,8.016877637,0,0,0.210970464,2.953586498,0.210970464,0.210970464,2.320675105,0.843881857,0,0.843881857,0,0,0,0,0,21.72995781,0,0,0.421940928,33.33333333,0.210970464,0,3.58649789,7.805907173,0,0,0,1.476793249,10.75949367,0,0,0,0.421940928,0.210970464,0,0,0,0,0,1.265822785,0,0,0,0,0,0,0,0,3.375527426,0,0,0,0,0,0.421940928,0,0,0,0,0,0.843881857,0,3.797468354,112.6582278,87.34177215,1.265822785,24.05063291,0.843881857
105,12009,0.421940928,8.860759494,2.848101266,0,0,0.210970464,1.898734177,0,0,0.843881857,0,1.476793249,7.172995781,0,0.421940928,0,4.852320675,0,0,0,1.265822785,0,0.632911392,0,0,0,0,0.210970464,5.485232068,0,0,0,25.52742616,0.210970464,0.421940928,1.476793249,5.907172996,0,0,0,0.632911392,2.320675105,0,0,0,0.632911392,5.696202532,0,0,0,0,0,1.054852321,0,0,0,0,0,0,0,0,5.274261603,0,0.421940928,0,0,0.210970464,0,0,4.852320675,2.53164557,0,0,1.265822785,0.210970464,1.898734177,86.81434599,64.24050633,5.907172996,16.66666667,2.848101266
110,12201,0.421940928,10.65400844,1.793248945,0,0,0,2.320675105,0,0,0.210970464,0,1.265822785,9.493670886,0.210970464,0.421940928,0,8.016877637,0,0.210970464,0.210970464,2.320675105,0,0.210970464,0,0,0,0,0,4.852320675,0,0,1.054852321,18.14345992,0.632911392,0.210970464,1.054852321,14.76793249,0,0,0,0.210970464,1.898734177,0,0,0,0,4.852320675,0,0,0.632911392,0,0,1.476793249,0,0,0,0,0,0,0,0,2.53164557,0,0,0,0,0.421940928,0,0,0.210970464,0,0,0.421940928,2.109704641,0.632911392,2.742616034,92.19409283,63.71308017,2.109704641,26.37130802,1.793248945
