"","Depth","Age","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cichorioideae","Corylus","Cupressaceae","Cyperaceae","Equisetum","Ericaceae","Fagus","Fraxinus","Galium","Ilex","Indeterminable","Juglans.cinerea","Larix","Liquidambar","Lycopodium","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogeton","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Saxifragaceae","Selaginella","Sporormiella","Thalictrum","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","X","Total.Pollen","Upland.Sum"
"1",20,13309,0,1.26953125,17.08984375,0,3.80859375,0,0.09765625,2.5390625,3.7109375,0.87890625,0,7.2265625,0,1.07421875,0.29296875,0,0,4.58984375,0.29296875,0.09765625,0.48828125,0.87890625,0,0.29296875,6.8359375,0.29296875,0,0,0.1953125,0,0,0.78125,0.5859375,0.1953125,3.22265625,1.7578125,0.29296875,0.78125,5.078125,0,0,1.66015625,0.09765625,0,0.09765625,12.5,0,0,0,0,0.390625,0.9765625,0,0,0.48828125,0.1953125,0,3.125,0,0.09765625,0.48828125,0.09765625,13.57421875,1.5625,0,0,100,75.48828125
"2",30,13360,0,0.708591674,10.0088574,0,0.177147919,0,0.088573959,2.037201063,2.037201063,1.771479185,0,2.480070859,0,15.05757307,0.088573959,0.088573959,0.265721878,4.960141718,0.620017715,0,0.177147919,0.354295837,0,0.177147919,8.32595217,0,1.15146147,0,0,0,0,0.088573959,0,0.354295837,0.177147919,0.265721878,0.354295837,0.354295837,10.09743136,0,0,1.594331267,0.088573959,0.354295837,0.088573959,10.0088574,0,0,0,0,0,1.062887511,0,0,0,0.265721878,0,3.897254207,0.442869796,0.265721878,0.265721878,0,18.60053144,0.797165633,0,0,100,71.39061116
"3",40,13408,0,0.614574188,5.531167691,0,0.175592625,0,0,2.282704126,1.053555751,2.194907814,0,2.897278314,0,18.34942932,0.087796313,0.175592625,0.087796313,4.214223003,0.087796313,0.087796313,0.526777875,0.175592625,0,0.263388938,5.882352941,0.263388938,0.790166813,0,0,0,0.087796313,0.263388938,0.35118525,0.087796313,1.668129939,0.526777875,0,0.35118525,9.745390694,0.175592625,0,0.965759438,0,0.526777875,0.087796313,10.27216857,0,0,0,0,0,1.492537313,0,0,0,0.087796313,0.087796313,2.985074627,1.668129939,0.175592625,0.35118525,0.175592625,21.59789289,0.526777875,0,0,100,69.18349429
"4",50,13456,0,0.327868852,25.79234973,0,0.218579235,0.109289617,0,1.967213115,2.295081967,0.218579235,0,0.218579235,0,2.62295082,0,0.109289617,0.218579235,4.590163934,0.109289617,0,1.092896175,0.546448087,0,0.546448087,3.606557377,0.43715847,0.218579235,0,0,0,0.218579235,0,0,0.218579235,0.765027322,0.546448087,0,1.202185792,7.540983607,0,0.109289617,3.278688525,0.109289617,0.218579235,0.109289617,20.43715847,0,0,0,0,0.218579235,0.87431694,0,0,0,0.109289617,0.327868852,6.775956284,0.43715847,0.327868852,0.43715847,0.546448087,8.961748634,0.983606557,0,0,100,84.59016393
"5",60,13505,0.319488818,1.118210863,1.437699681,0,0.319488818,0,0.159744409,0.319488818,6.07028754,0,0,0,0.159744409,0,0,0.479233227,0.319488818,2.715654952,0,0,0,0.958466454,0,0,3.194888179,0,0.159744409,0,0.638977636,0.479233227,0,0.479233227,0.319488818,0,0,1.437699681,0.638977636,8.306709265,33.06709265,0,0,0.319488818,0,0,0,17.41214058,0,0,0,0,0.159744409,0.159744409,0,0.159744409,0,0,0,7.827476038,1.118210863,0,0.958466454,0.319488818,7.50798722,0.798722045,0.159744409,0,100,86.10223642
"6",70,13550,5.422647528,0.159489633,6.858054226,0,0,0.159489633,0.159489633,0.318979266,11.80223285,0,0,0.318979266,0,0.159489633,0,1.913875598,0,5.582137161,0.159489633,0.159489633,0,1.116427432,0,0,2.073365231,0.318979266,0.159489633,0,0.637958533,0.637958533,0,0.159489633,0,0,0.159489633,1.435406699,15.62998405,0.797448166,31.2599681,0,0,1.116427432,0,0,0.4784689,7.01754386,0,0,0,0,0,0.637958533,0,0,0.159489633,0,0,1.594896332,0,0,0.159489633,0.159489633,0.797448166,0.318979266,0,0,100,95.85326954
"7",80,13592,3.231939163,0,0.950570342,0,0.190114068,0,0.380228137,1.140684411,5.513307985,0,0,0,0,0,0,0.380228137,0,9.125475285,0.570342205,0,0,2.47148289,0,0,3.231939163,0,0,0,0.760456274,0,0,0,0,0,0,2.47148289,20.34220532,1.520912548,32.88973384,0,0,1.330798479,0,0,0,6.844106464,0,0,0,0,0,0.760456274,0,0.380228137,0.760456274,0,0,0,0.190114068,1.140684411,0,0.760456274,1.901140684,0.760456274,0,0,100,91.25475285
"8",90,13669,0.952380952,0,0.380952381,0,0,0,1.142857143,0.952380952,4.380952381,0.380952381,0,0,0,0.19047619,0,0.761904762,0,6.095238095,0.761904762,0,0,2.095238095,0,0,2.857142857,0,0,0,0.19047619,0,0,0,0,0,0,2.666666667,38.66666667,0.952380952,19.42857143,0,0,2.857142857,0.19047619,0,0.571428571,5.142857143,0,0,0,0,0,2.285714286,0,0.19047619,0.571428571,0,0,0,0,2.476190476,0,0.380952381,0.761904762,1.523809524,0.19047619,0,100,90.85714286
"9",100,13737,2.272727273,0,0.34965035,0,0.174825175,0,1.398601399,2.447552448,3.671328671,0.174825175,0,0,0.174825175,0,0,0.174825175,0.34965035,8.216783217,0.874125874,0.174825175,0,0.699300699,0,0,4.545454545,0,0,0,0,0,0.174825175,0,0,0,0.34965035,1.923076923,36.18881119,0,19.23076923,0,0,1.573426573,0,0,0,5.06993007,0,0,0,0,1.748251748,0.524475524,0,0,0.174825175,0,0,0,1.048951049,1.223776224,0,2.097902098,1.923076923,0.524475524,0.524475524,0,100,86.53846154
"10",110,13803,0.346620451,0,1.039861352,0,0.173310225,0.173310225,0.519930676,1.386481802,6.412478336,0,0,0,0,0.346620451,0,0.519930676,0.173310225,7.452339688,0.346620451,0,0,1.386481802,0,0,2.59965338,0.173310225,0.346620451,0,0.173310225,0,0,0,0,0.173310225,0.173310225,3.466204506,33.62218371,0.346620451,21.14384749,0,0,1.559792028,0,0.173310225,1.386481802,4.506065858,0,0,0,0,0,2.426343154,0,0.173310225,0.693240901,0.346620451,0,0.173310225,0.173310225,3.466204506,0,0.693240901,1.039861352,0.693240901,0,0,100,89.25476603
"11",120,13865,1.186440678,0,0.169491525,0,0.508474576,0.169491525,0.508474576,2.372881356,8.644067797,0.169491525,0,0,0,0.169491525,0,0,0,9.830508475,0.169491525,0.169491525,0,0.508474576,0.169491525,0,2.711864407,0,0.169491525,0,0.169491525,0,0,0.169491525,0,0,0,2.542372881,36.10169492,0.169491525,13.38983051,0,0,3.050847458,0,0.169491525,0.847457627,5.254237288,0,0,0,0,0,2.203389831,0,0,0.677966102,0.169491525,0,0,1.016949153,0,0,4.745762712,1.525423729,0.169491525,0,0,100,88.13559322
"12",130,13915,0.702987698,0,0.878734622,0,0.527240773,0.175746924,0.175746924,1.405975395,4.217926186,0,0,0,0.175746924,0,0,0,0.175746924,8.260105448,0.878734622,0.527240773,0,0.351493849,0,0,3.16344464,0,0,0,0.351493849,0,0,0,0,0,0,1.757469244,44.6397188,0.175746924,13.00527241,0,0,2.108963093,0,0,0.351493849,3.339191564,0,0,0,0,0,3.514938489,0,0,0.351493849,0.351493849,0,0,0.527240773,3.866432337,0.175746924,0.527240773,2.108963093,1.054481547,0.175746924,0,100,88.04920914
"13",140,13964,0.152207002,0.304414003,2.130898021,0.152207002,0.761035008,0,0.913242009,1.97869102,8.523592085,0,0.152207002,0,0,0,0,0.456621005,0.304414003,18.41704718,0.152207002,0.608828006,0,0.152207002,0.152207002,0,3.196347032,0,0.152207002,0,0.152207002,0,0.152207002,0,0,0,0,1.065449011,25.41856925,0.152207002,17.96042618,0,0,2.283105023,0,0,0.304414003,3.500761035,0,0,0,0,0.152207002,3.95738204,0,0.152207002,2.130898021,0.608828006,0,0,0.456621005,0,0,1.217656012,0.761035008,0.761035008,0.152207002,0,100,90.86757991
