Depth,Age,StronglyCoproConc,TotalFungiConc,StronglyCoproPct,TotalFungiPct
510.5,10860,5212,15636,0.929899857,2.789699571
514.5,10917,2382.628571,13700.11429,0.504944246,2.903429413
560.5,11561,1380.857143,11046.85714,0.186985789,1.495886313
568.5,11671,11046.85714,22093.71429,0.710953122,1.421906243
576.5,11799,6444,16110,0.175901495,0.439753738
588.5,12169,3222,12888,0.191846523,0.767386091
592.5,12295,2416.5,4228.875,0.495750708,0.867563739
600.5,12551,6955.5,11923.71429,0.741839763,1.271725307
608.5,12762,2529.272727,10117.09091,0.626959248,2.507836991
616.5,12875,7824.9375,22605.375,1.033690658,2.986217458
632.5,13021,20848,30324.36364,3.483309143,5.066631481
636.5,13057,8493.62963,13126.51852,2.108348836,3.258357292
652.5,13208,4833,10356.42857,0.564971751,1.210653753
656.5,13246,14891.42857,20848,1.695633743,2.37388724
664.5,13365,2978.285714,9927.619048,0.337126001,1.123753336
672.5,13543,13551.2,14593.6,2.154696133,2.320441989
680.5,13727,11225.84615,27797.33333,0.892477688,2.209944751
688.5,13899,9622.153846,16036.92308,1.77028451,2.950474184
696.5,14085,47950.4,102155.2,8.807069218,18.76288659
704.5,14254,18068.26667,87561.6,5.155807366,24.9858357
712.5,14407,319669.3333,715781.3333,61.07159791,136.7472736
720.5,14553,37063.11111,224695.1111,10.78998073,65.41425818
728.5,14683,9729.066667,39611.2,1.452145215,5.912305516
788.5,14768,41886,46719,6.172839506,6.885090218
734.5,14782,1705.764706,6254.470588,0.15970189,0.585573596
756.5,14927,113716.3636,147831.2727,16.75743611,21.78466695
804.5,15082,9666,12508.94118,0.900900901,1.165871754
780.5,15136,23474.57143,144990,7.518796992,46.43962848
772.5,15385,170953.6,210564.8,13.76223776,16.95104895
816.5,15623,26407.46667,27797.33333,1.533030761,1.613716591
824.5,15794,49277.09091,60648.72727,2.797202797,3.442711135
828.5,15874,19332,27387,1.744186047,2.470930233
832.5,15956,13551.2,28144.8,0.354706685,0.736698499
840.5,16111,7644.266667,13203.73333,0.657698057,1.136023916
844.5,16193,6645.375,12082.5,0.172738693,0.314070352
858.5,16478,27573.16129,42368.51613,1.204170542,1.850310833
866.5,16632,13596.52174,20848,2.015144113,3.08988764
874.5,16813,28918.19355,41023.48387,3.732098943,5.294372919
882.5,17002,22833.52381,25811.80952,0.590424849,0.667436786
890.5,17191,27400.22857,44078.62857,1.927105153,3.100125681
898.5,17389,36884.92308,48110.76923,1.03615272,1.351503548
904.5,17538,11599.2,14499,2.979310345,3.724137931
920.5,17915,20046.15385,32875.69231,1.540927022,2.527120316
928.5,18056,11582.22222,13898.66667,2.827677979,3.393213574
936.5,18206,38315.24324,50147.89189,7.477900436,9.787252041
944.5,18406,23454,36484,2.804709141,4.362880886
955.5,18724,42381.69231,56508.92308,6.714571799,8.952762398
