Depth,Age,Half.Pinus,Pinus.subg..Strobus,Pinus.subg..Pinus,Pinus.undiff.,Total.Pinus,Picea,Half.Picea,Total.Picea,Abies,Half.Abies,Total.Abies,Juniperus.type,Taxodium,Tsuga,Betula,Alnus,Quercus,Carya,Ostrya.Carpinus,Ulmus,Fraxinus.pennsylvanica.type,Fagus,Acer.saccharum.type,Acer.rubrum.type,Acer.undiff,Total.Acer,Salix,Corylus,Juglans.nigra,Platanus,Castanea,Ilex,Vitis,Liquidambar,Nyssa,cf..Serenoa,Magnolia.cf..virginiana,Celtis,Myrica,Ericaceae,Cephalanthus,Clethra,Rosaceae.undiff.,Sambucus,Cornus,Tilia,Poaceae,Cyperaceae,Artemisia,Ambrosia.type,Iva.type,Other.Tubuliflorae,Liguliflorae,Amaranthaceae,Thalictrum,Other.Ranunculaceae,Apiaceae,Brassicaceae,Caryophyllaceae,Polygonella.polygama.type,Polygonella.fimbriata.type,Rumex,Polygonella.ciliata,Eriogonum,Selaginella..arenicola.,Dryopteris.type,Pteridium.type,Osmunda.cinnamomea,Polypodium,Botrychium.type,Indeterminate,Unknown,Terrestrial.Sum,Equisetum,Isoetes,Brasenia,Nuphar,Nymphoides,Nymphaea,Sagittaria,Bidens,Cambomba,Rhexia,Hydrocotyle,Polygonum.amphibium.type,Ludwigia,Potamogeton,Utricularia,Lemnoceae,Myriophyllum,Sphagnum,Eriocaulon,Sparganium,Typha,Upland.Herbs,TreesandShrubs
510.5,10860,31.18741059,0,0,22.31759657,37.91130186,0,0,0,0,0,0,0.286123033,0,0,0.286123033,0,42.6323319,0.572246066,0.572246066,0.572246066,0.572246066,0,0,0,0,0,0,0,0,0,0,0,0.572246066,0,0,0,0,0,0.286123033,0,0,0,0,0,0,0,5.436337625,0.286123033,0.572246066,2.00286123,0.858369099,3.433476395,0,2.00286123,0,0,0,0,0.286123033,0,0,0,0,0,0,0,0,0,0,0,0.572246066,0.286123033,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568990043,0,0,0,0,15.73676681,84.26323319
514.5,10917,32.69513991,0,0,19.44035346,35.78792342,0,0,0,0,0,0,0.29455081,0,0,0.88365243,0,45.06627393,1.17820324,0,0,0.58910162,0,0,0,0,0,0.58910162,0.29455081,0,0,0,0,0.58910162,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30191458,1.17820324,0.29455081,2.65095729,0,3.82916053,0,1.17820324,0,0,0,0,0,0,0,0,0.29455081,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7275405,85.2724595
556.5,11504,52.22929936,0,0,31.52866242,57.6433121,0,0,0,0,0,0,0.318471338,0,0,0,0,31.84713376,1.592356688,0.318471338,0.318471338,0.318471338,0,0,0,0,0,0.318471338,0,0,0,0,0,0.318471338,0,0,0,0,0,0.318471338,0,0,0,0.318471338,0,0,0,3.184713376,0.636942675,0.318471338,0.955414013,0,0,0,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636942675,0,100,0,0,0.317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.369426752,93.63057325
560.5,11561,59.68586387,0,0,30.36649215,60.20942408,0,0,0,0,0,0,0.261780105,0,0,0,0.261780105,28.0104712,2.617801047,0.523560209,0.261780105,0,0,0,0,0,0,0,0,0,0.523560209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261780105,0,1.308900524,0.261780105,0.261780105,1.308900524,0,1.570680628,0,0,0,0,0,0,0,0,0,0,0.261780105,0,0,0,0,0,0,0,2.094240838,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.068062827,92.93193717
562.5,11590,50.69984448,0,0,28.61586314,53.96578538,0,0,0,0,0,0,0.933125972,0,0,0.622083981,0.311041991,30.17107309,2.177293935,0.622083981,0.311041991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622083981,0,0,0,0,0,0,0,0,0.311041991,0,0,0,1.555209953,1.555209953,0.311041991,2.177293935,0,0.622083981,0,1.866251944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.866251944,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.953343701,90.0466563
568.5,11671,63.14152411,0,0,31.10419907,62.67496112,0,0,0,0,0,0,1.244167963,0,0,0.311041991,0,26.43856921,1.555209953,0.311041991,0,0.311041991,0,0,0,0,0,0,0,0,0,0,0,0.311041991,0.622083981,0,0,0,0,0,0,0,0,0,0,0,0,1.555209953,0.622083981,0.311041991,0.311041991,0,1.244167963,0.311041991,1.244167963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311041991,0,0.311041991,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.220839813,93.77916019
572.5,11725,52.19638243,0,0,29.45736434,55.55555556,0,0,0,0,0,0,0.775193798,0,0,0.516795866,0.258397933,31.78294574,1.80878553,0.775193798,0.258397933,0.775193798,0,0,0,0,0,0,0,0,0,0,0,0,0.258397933,0,0,0,0,0,0,0,0,0,0,0,0,1.550387597,0.258397933,0.775193798,1.550387597,0,1.033591731,0,0.516795866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.291989664,0.258397933,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.235142119,92.76485788
576.5,11799,53.29815303,0,0,37.20316623,63.85224274,0,0,0,0,0,0,0,0,0,0.263852243,0.527704485,22.69129288,3.693931398,0.263852243,1.583113456,0.263852243,0,0,0,0,0,0.263852243,0,0,0,0,0,0,0,0,0,0,0,0.263852243,0,0,0,0,0,0,0,0.791556728,1.319261214,0.263852243,0.791556728,0,0.263852243,0,1.055408971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.846965699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.332453826,93.66754617
580.5,11913,47.70642202,0,0,28.13455657,51.98776758,0,0,0,0,0,0,0.917431193,0,0,0.305810398,0.611620795,33.33333333,1.22324159,0,1.22324159,0,0,0.611620795,0,0,0.611620795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.834862385,0.917431193,0,0.305810398,0,1.529051988,0,2.44648318,0,0,0,0,0,0,0,0,0,0,0,0.305810398,0,0,0,0.305810398,0.917431193,0.611620795,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.785932722,90.21406728
584.5,12044,50.0723589,0,0,19.68162084,44.71780029,0,0,0,0,0,0,0.289435601,0,0,0.289435601,0,37.04775687,4.052098408,1.447178003,0.289435601,0.578871201,0.289435601,0,0,0,0,0,0,0.289435601,0.289435601,0,0.289435601,0.578871201,0.578871201,0,0,0,0,0,0,0,0,0,0,0,0,2.894356006,0.289435601,0,1.157742402,0,0.578871201,0,2.315484805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.736613603,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.972503618,91.02749638
