depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
601.63,8321,30,1,29.7,1.5632,0.375,1.1882,0.3135,0.4656,0.6362,0.4656,-0.5732,6.88,0.52,0,0,0,0,0,0,1.61,,,,,,,,,,,
602.68,8341,31,1,31.1,1.6368,0.4074,1.2295,0.3668,0.5367,0.727,0.5367,-0.6227,6.82,0.47,0,0,0,0,0,0,1.63,,,,,,,,,,,
603.74,8361,19,1,18.5,1.0596,0.4415,0.6181,0.424,0.6123,0.8234,0.6123,-0.6736,6.78,0.65,0,0,0,0,0,0,1.66,,,,,,,,,,,
604.88,8381,31,1,31.2,1.7435,0.4777,1.2658,0.4843,0.6919,0.9246,0.6919,-0.7253,6.76,0.64,0,1,1,1,0,45.8852,1.69,,,,,,,,,,,
606,8401,22,1,22,1.1,0.516,0.584,0.5477,0.775,1.0299,0.775,-0.7773,6.75,0.62,0,0,0,0,0,0,1.73,,,,,,,,,,,
607,8421,29,1,29,1.381,0.5576,0.8234,0.6136,0.8612,1.1387,0.8612,-0.8293,6.76,0.77,0,0,0,0,0,0,1.77,,,,,,,,,,,
607.95,8441,27,1,27.1,1.4195,0.6008,0.8187,0.682,0.9502,1.251,0.9502,-0.8814,6.77,0.85,1,0,0,0,0,0,1.81,,,,,,,,,,,
609,8461,13,1,13,0.715,0.6449,0.0701,0.7524,1.0417,1.366,1.0417,-0.9335,6.8,0.01,0,0,0,0,0,0,1.86,,,,,,,,,,,
610.1,8481,13,1,13,0.65,0.689,-0.039,0.8248,1.1355,1.4838,1.1355,-0.9859,6.85,0.01,0,0,0,0,0,0,1.91,,,,,,,,,,,
611.1,8501,13,1,12.6,0.627,0.733,-0.106,0.9038,1.2375,1.6116,1.2375,-1.0411,6.9,0.02,0,0,0,0,0,0,1.97,,,,,,,,,,,
