depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
122,7818,0,0.67,0,0,-0.0003,0.0003,-0.0161,-0.0192,-0.0228,-0.0192,0.0024,0,0,0,0,0,0,0,0,-0.89,,58,,,,,,,,,
123.67,7827,0,1,0,0,-0.0003,0.0003,-0.0142,-0.0162,-0.0185,-0.0162,-0.0023,0,0,0,0,0,0,0,0,-0.78,,,,,,,,,,,
124.75,7836,0,1,0,0,-0.0003,0.0003,-0.0123,-0.0132,-0.0142,-0.0132,-0.007,0,0,0,0,0,0,0,0,-0.68,,,,,,,,,,,
126,7845,0,1,0,0,-0.0003,0.0003,-0.0104,-0.0102,-0.0099,-0.0102,-0.0116,0,0,0,0,0,0,0,0,-0.57,,,,,,,,,,,
127.29,7854,0,1,0,0,-0.0003,0.0003,-0.0085,-0.0071,-0.0056,-0.0071,-0.0163,0,0,0,0,0,0,0,0,-0.47,,,,,,,,,,,
128.57,7863,0,1,0,0,-0.0003,0.0003,-0.0066,-0.0041,-0.0013,-0.0041,-0.0209,0,0,0,0,0,0,0,0,-0.36,,,,,,,,,,,
129.86,7872,0,1,0,0,-0.0003,0.0003,-0.0047,-0.0011,0.003,-0.0011,-0.0255,0,0,0,0,0,0,1,1.0973,-0.26,,,,,,,,,,,
130.89,7881,0,1,0,0,-0.0003,0.0003,-0.0027,0.002,0.0072,0.002,-0.0301,0,0,0,0,0,0,0,0,-0.15,,,,,,,,,,,
131.8,7890,0,1,0,0,-0.0002,0.0002,-0.0008,0.005,0.0115,0.005,-0.0347,0,0,0,0,0,0,0,0,-0.05,,,,,,,,,,,
133,7899,0,1,0,0,-0.0002,0.0002,0.0011,0.0081,0.0158,0.0081,-0.0393,0,0,0,0,0,0,0,0,0.06,,,,,,,,,,,
