Depth,Age,Abies,Acer.negundo,Acer.pensylvanicum,Acer.rubrum,Acer.saccharinum,Acer.saccharum,Acer.undiff,Acer.Total,Alnus.crispa,Alnus.rugosa,Alnus.undiff,Amaranthaceae,Ambrosia,Artemesia,Asteraceae.undiff,Betula,Brasenia,Brassicaceae,Carex,Carya,Castanea,Celtis,Cephalanthus,Cornus,Corylus,Cupressaceae,Cyperaceae.undiff,Dryas,Fagus,Frax.nigra,Frax.undiff,Fraxinus.americana.penn,Total.Fraxinus,Hippuris,Humulus,Juglans.undiff,Kalmia,Larix,Lemna,Liquidambar,Morus,Nymphaea,Nyssa,Ostrya.Carpinus,Petalostemum,Picea.glauca,Picea.mariana,Picea.undiff,Total.Picea,Pinus.banks.res,Pinus.strobus,Pinus.undiff,Total.Pinus,Plantago,Platanus,Poaceae.undiff,Polygonaceae,Populus,Potamogeton,Quercus,Ranunculus,Rhamnaceae.Vitaceae,Rosaceae,Rubus,Rumex,Salix,Sambucus,Shepherdia,Sium,Tilia,Triglochin,Tsuga,Typha,Ulmus,Urtica,Utricularia,TreesandShrubs,Upland.Herbs,Aquatic.Vascular.Plants,Pollen.Sum
34.5,6964,0,0,0,0,0,0,4.219409283,4.219409283,0,0,0,2.53164557,19.83122363,2.109704641,0,0,0,0,1.265822785,5.485232068,0,0,0.421940928,0.421940928,0,0,8.860759494,0,0,0,7.172995781,0,7.172995781,0,0,2.53164557,0,0,0,0,0.421940928,0.843881857,0.843881857,0,0,0,0,0,0,0,0,1.265822785,1.265822785,0,0.421940928,5.907172996,0,0,0,25.3164557,0,0,0,0.843881857,0.843881857,5.907172996,0,0,0,0,0,0.421940928,0.421940928,1.687763713,0,0,59.49367089,39.24050633,1.265822785,100
42.5,7038,0,0,0,0,0,0,4.201680672,4.201680672,0,0,0,2.941176471,16.80672269,3.361344538,0,0,0,0,1.260504202,7.142857143,0,0.420168067,0,0,0,0,7.142857143,0,0.420168067,0,4.621848739,0,4.621848739,0,0,2.100840336,0,0,0,0,0,0,0.840336134,0,1.260504202,0,0,0.420168067,0.420168067,0.840336134,0,2.100840336,2.941176471,0,0,4.621848739,0,0.840336134,0,29.83193277,0,0,0,0.420168067,1.260504202,3.781512605,0,0,0,0.420168067,0,0,2.521008403,1.680672269,0,0,63.02521008,34.45378151,2.521008403,100
58.5,7200,0,2.21402214,0,0,1.10701107,0,0.73800738,4.05904059,0,0,0,4.42804428,5.535055351,3.6900369,0,0,0,1.47601476,0,7.011070111,0,0.36900369,0,1.84501845,0.73800738,0.36900369,8.118081181,0,0.73800738,1.47601476,1.10701107,0.73800738,3.32103321,0,0,2.21402214,0,0,0,0,0,0,0,0.36900369,0,0,0,0,0,0,0,2.21402214,2.21402214,0,0,2.21402214,2.21402214,0.73800738,0,37.63837638,0.73800738,0,0,0,0,4.05904059,0,0,0,0,0,0,2.95202952,2.95202952,0,0,73.43173432,23.61623616,2.95202952,100
66.5,7278,0.330033003,1.98019802,0,0,1.320132013,0.330033003,0,3.630363036,0,0.330033003,0,3.300330033,3.300330033,5.610561056,0,0,0,2.97029703,0,4.620462046,0.330033003,0,0.99009901,0.660066007,0.330033003,0,3.96039604,0,2.97029703,1.650165017,0,2.310231023,3.96039604,0,0.330033003,2.640264026,0,0,0.330033003,0,0,0,0.660066007,0,0,0,0,0,0,0,0.660066007,1.320132013,1.98019802,0,0,2.310231023,2.97029703,0,0,39.27392739,0.660066007,0,0,0,0.99009901,3.630363036,0.660066007,0,0,0,0,0,2.310231023,3.96039604,0,0,71.94719472,25.41254125,2.640264026,100
74.5,7358,0,1.700680272,0,0,0.340136054,0,1.020408163,3.06122449,0,0,0,3.06122449,4.081632653,3.401360544,0,0,0,2.040816327,0,6.802721088,0.340136054,0.680272109,0.680272109,3.06122449,0.680272109,0.680272109,7.823129252,0,1.700680272,2.380952381,1.020408163,0.680272109,4.081632653,0,0,2.040816327,0,0,0,0,0,0,0.340136054,0.340136054,0,0,0,0,0,0,0.680272109,1.020408163,1.700680272,0,0,5.102040816,2.380952381,1.360544218,0.680272109,35.71428571,0.680272109,0,0,0,0,4.421768707,0,0,0,0,0,0.340136054,1.700680272,1.020408163,0,0,73.1292517,24.48979592,2.380952381,100
82.5,7436,0.327868852,0.655737705,0,0,0.983606557,0.327868852,1.639344262,3.606557377,0,0.983606557,0,1.967213115,3.278688525,2.295081967,0,0,0,1.967213115,1.31147541,4.590163934,0,0.327868852,0.983606557,2.295081967,0.327868852,0.655737705,4.918032787,0,1.967213115,1.967213115,0.983606557,0.655737705,3.606557377,0,0,2.295081967,0,0,0,0.327868852,0,0,0,0,0,0,0,0.327868852,0.327868852,0,0.327868852,0.655737705,0.983606557,0,0,3.606557377,2.62295082,0.327868852,0.655737705,40.6557377,0.655737705,0.327868852,0,0.327868852,0.983606557,3.606557377,0,0,1.639344262,0,0.327868852,0,3.278688525,1.639344262,0,0,72.13114754,23.60655738,4.262295082,100
90.5,7512,0,2.02020202,0,0,0.673400673,0,0.673400673,3.367003367,0,0,0.673400673,2.693602694,5.050505051,1.346801347,0,0,0,2.356902357,1.683501684,5.723905724,0,0,2.02020202,1.683501684,0.673400673,0.336700337,6.397306397,0,1.346801347,2.356902357,1.346801347,0.336700337,4.04040404,0,0,3.03030303,1.01010101,0,0,0,0,0,0,0.336700337,1.01010101,0,0,0.336700337,0.336700337,0,0.336700337,0.673400673,1.01010101,0,0,3.03030303,3.367003367,0,0,39.39393939,0.673400673,0,0,0,0.673400673,3.703703704,0,0,1.01010101,0,0,0,1.683501684,1.346801347,0,0,73.4006734,24.91582492,1.683501684,100
98.5,7588,0,2.657807309,0,0,0.664451827,0.332225914,2.657807309,6.312292359,0,0,0.332225914,1.993355482,2.990033223,1.328903654,0,0.332225914,0,0.996677741,0.996677741,5.980066445,0.332225914,0.996677741,1.328903654,1.661129568,0.996677741,0.664451827,3.65448505,0,0.996677741,2.657807309,1.993355482,0.996677741,5.647840532,0,0,2.325581395,0,0.332225914,0.332225914,0.332225914,0,0,0.332225914,0,0,0,0,0,0,0,0,0.664451827,0.664451827,0,0,3.322259136,1.328903654,0,1.993355482,41.19601329,0.664451827,1.661129568,0,0.332225914,0.332225914,1.661129568,0.332225914,0,0.996677741,0,0,0.332225914,1.661129568,2.325581395,0,0,79.73421927,16.27906977,3.986710963,100
106.5,7665,0,1.253918495,0,0,0.626959248,0,1.253918495,3.134796238,0,0,0,3.761755486,1.880877743,0.940438871,0,0,0.940438871,1.253918495,1.880877743,5.642633229,0.313479624,0.626959248,3.134796238,1.253918495,0.313479624,0.940438871,2.821316614,0,1.253918495,1.567398119,1.567398119,0.626959248,3.761755486,0,0,0.626959248,0,0,0.940438871,0.313479624,0,0,1.880877743,0,1.253918495,0,0,0,0,0,0.626959248,1.253918495,1.880877743,0,0,4.07523511,4.388714734,0.940438871,0.313479624,31.34796238,0,7.836990596,0,0.313479624,0.626959248,2.194357367,0.940438871,0.626959248,0,0.313479624,0,0,3.761755486,2.821316614,0,0,72.72727273,21.31661442,5.956112853,100
114.5,7741,0,3.921568627,0,0,1.307189542,0.326797386,1.307189542,6.862745098,0,0,0,5.22875817,3.267973856,0.653594771,0,0.326797386,0,1.960784314,1.633986928,5.22875817,0,0,1.307189542,0.653594771,0.326797386,0.653594771,1.960784314,0,0.980392157,3.267973856,2.287581699,1.307189542,6.862745098,0,0,0.980392157,0,0.326797386,0.326797386,0,0,0,1.307189542,0.653594771,0.326797386,0,0,0,0,0.326797386,0.653594771,0.980392157,1.960784314,0,0,2.614379085,4.901960784,1.307189542,0.326797386,32.35294118,0.326797386,2.287581699,0,0.653594771,1.960784314,3.267973856,0.653594771,0.326797386,0,0,0,0.326797386,2.287581699,2.614379085,0,0.326797386,70.58823529,26.14379085,3.267973856,100
