Depth,Age,StronglyCoproConc,TotalFungiConc
179,9986,351.4909091,1054.472727
181,10010,449.5813953,1348.744186
183,10035,840.5217392,2521.565217
186,10068,3222,4833
188,10087,1333.241379,2333.172414
190,10107,560.3478261,2801.73913
193,10158,1137.176471,3980.117647
195,10189,2658.15,5316.3
198,10212,1044.972973,3657.405405
200,10229,495.6923076,1734.923077
202,10258,2460.436364,4569.381818
205,10297,5463.391304,10506.52174
207,10320,3666.413793,5999.586207
209,10341,4389.052632,10972.63158
212,10372,4602.857143,9666
214,12150,1635.137255,6540.54902
217,12446,4935.829788,11928.25532
219,12544,6080.666667,12161.33333
221,12721,5106.566038,12036.90566
224,13017,10142.27027,24792.21622
226,13110,2761.714286,16225.07143
228,13154,3933.584906,14947.62264
231,13252,5799.6,15465.6
233,13333,8653.886792,10227.32075
236,13472,4243.609755,11787.80488
238,13590,9360.326531,19571.59184
241,13741,5043.130435,9245.739131
243,13841,9015.351351,13523.02703
246,13982,9294.230769,14499
248,14073,16838.76923,24055.38462
251,14208,6236.129032,11848.64516
253,14299,12587.4717,26748.37736
256,14465,7029.818181,12653.67273
258,14568,19805.6,34399.2
261,14718,7483.354839,19332
