"Depth","Age","spike.conc","Abies","Acer.rubrum.type","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteroideae","Betula","Botrychium.type","Brasenia","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cichorioideae","Corylus","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fagus","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Iso..tes","Iva.type","Juglans.nigra","Juniperus.type","Liquidambar","Lycopodium.spike","Magnolia.virginiana.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmundastrum.cinnamomeum","Ostrya.Carpinus","Persicaria.amphibia.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.fimbriatum.type","Polygonum.polygamum.type","Polypodium","Potamogeton","Pteridium.type","Quercus","Rosaceae.undiff.","Sagittaria","Salix","Sambucus","Selaginella.arenicola","Serenoa","Sporormiella","Thalictrum","Tsuga","Ulmus","Unknown","Utricularia","Vitis","total"
1,-35,NA,0,0,0,0.271370421,0.542740841,4.884667571,0,0.271370421,1.899592944,0.542740841,0,0.271370421,0,1.628222524,0,0,0,0.542740841,0,0,3.256445047,0,0,0,0,0,0.271370421,0,1.085481682,0,0,0,0,2.442333786,1.356852103,0,0.271370421,8.141112619,0.271370421,0,1.085481682,0,0.814111262,0,0,0,0,47.62550882,0.814111262,0,0,0,0,0,0,17.91044776,0,0,1.356852103,0,0,0,0.542740841,0,0,0.814111262,1.085481682,0,0,100
5,88,NA,0,0,0,0.274348422,0,0.274348422,0,0,0.823045267,0,0,0.548696845,0,1.09739369,0,0,0,0,0,0,0,0,0,0.274348422,0,0,0,0,0,0,0,0,0.548696845,1.371742112,3.017832647,0,0,5.761316872,0,0.274348422,0.823045267,0,0,0,0,0,0,72.83950617,0.274348422,0.823045267,0,0,0,0,0,10.15089163,0,0,0,0,0,0,0,0,0,0.548696845,0,0.274348422,0,100
13,412,NA,0,0,0,0,0,0,0,0,0.862068966,0.287356322,0,0.574712644,0,1.149425287,0,0,0,0,0,0,0.862068966,0,0,0,0,0,0,0,0.574712644,0.287356322,0,0,0,0.574712644,2.298850575,0,0.574712644,0.287356322,0,0.287356322,0,0,0,0.574712644,0,0,0,75.28735632,0,0.287356322,0,0,0,0,0,15.22988506,0,0,0,0,0,0,0,0,0,0,0,0,0,100
21,712,NA,0,0.296296296,0,0.296296296,0,0,0,0,1.185185185,0.296296296,0,2.074074074,0,2.37037037,0,0.296296296,0,0,0,0,0.592592593,0,0,0.592592593,0,0,0.592592593,0,0.296296296,0,0,0,0,0.888888889,2.074074074,0.296296296,0,0.888888889,0,0.592592593,0,0,0,0,0,0,0,62.37037037,0.296296296,0.888888889,0,0,0,0,0,22.81481481,0,0,0,0,0,0,0,0,0,0,0,0,0,100
29,1022,NA,0,0,0,0.785340314,0,0.261780105,0,0,1.047120419,0.261780105,0,1.047120419,0,0.523560209,0,0,0,0.261780105,0,0,0.785340314,0,0,0.261780105,0,0,0,0,0.523560209,0,0,0.261780105,0.523560209,0.523560209,3.926701571,0.261780105,0.261780105,0.261780105,0,0.523560209,1.047120419,0,0.523560209,0,0,0.261780105,0,72.2513089,0.261780105,1.308900524,0,0,0,0,0,11.2565445,0,0.261780105,0,0,0,0,0,0,0,0.261780105,0,0.261780105,0,100
37,1313,NA,0,0,0,0,0,0,0,0,0.243605359,0.243605359,0,1.948842875,0,0.974421437,0,0.487210719,0,0.243605359,0,0,1.705237515,0,0,0,0,0.243605359,0,0,1.461632156,0,0,0,0.243605359,0.243605359,3.166869671,0,0.487210719,4.872107186,0,0.730816078,0,0,0.243605359,0,0,0,0,58.58708892,0.487210719,0.730816078,0,0,0,0,0,21.43727162,0,0,0.243605359,0,0,0.487210719,0,0,0,0.243605359,0.243605359,0,0,100
45,1618,NA,0,0.287356322,0,0,0,0,0,0,0,0,0,2.586206897,0,2.011494253,0,0,0,0,0,0,0.287356322,0,0,0.574712644,0,0,0,0,1.149425287,0,0,0.287356322,0.287356322,0.574712644,2.873563218,0,0.574712644,0,0,0,0,0,0.287356322,0,0,0.574712644,0,61.49425287,0.574712644,8.620689655,0,0,0,0,0,16.09195402,0,0,0.287356322,0,0,0,0,0,0,0.574712644,0,0,0,100
53,1872,NA,0,0,0,0.865800866,0,0,0,0.288600289,0,0.865800866,0,1.443001443,0,0.577200577,0,0,0,0,0,0,2.886002886,0,0,0,0,0,0.288600289,0,0.865800866,0,0,0,0.577200577,0.288600289,2.886002886,0,0.577200577,0,0,2.597402597,0.288600289,0,0.288600289,0,0,1.731601732,0,61.9047619,0,2.02020202,0,0,0.288600289,0,0,17.6046176,0,0.288600289,0,0,0,0.288600289,0,0,0,0,0.288600289,0,0,100
61,2149,NA,0,0,0,0.260756193,0,0.260756193,0,0,0,0,0,8.865710561,0,1.825293351,0,0,0,0.260756193,0,0,0.782268579,0,0,0,0.260756193,0,0,0,1.043024772,0,0,0,0.260756193,0.782268579,5.475880052,0,0,0,0,0.260756193,0.260756193,0,0.260756193,0.260756193,0,0.521512386,0,60.36505867,0.260756193,2.60756193,0,0,0,0,0,14.863103,0,0,0,0,0,0,0,0,0,0,0,0.260756193,0,100
69,2490,NA,0,0.275862069,0,0,0,0,0,0,0,0,0,2.482758621,0,1.931034483,0,0,0,0.275862069,0,0,1.103448276,0,0,0,0,0,0.551724138,0,1.655172414,0,0,0,0.551724138,1.655172414,2.482758621,0,0.275862069,1.931034483,0,0,0,0,0.551724138,0,0,0.827586207,0,62.48275862,0.275862069,0,0,0,0,0,0,19.5862069,0,0,0,0,0,0,0,0,0,0.551724138,0.275862069,0.275862069,0,100
