"Depth","Age","Abies","Acalphyla","Acer","Aesculus","Alnus","Amaranthaceae","Ambrosia","ANACARDIACEAE","APIACEAE","Artemisia","Betula","Brasenia","BRASSICACEAE","Bursera","Carex","Carya","CARYOPHYLLACEAE","Castenea","Ceanothus","Celtis","Cephalanthus","Cercis","Clethra","Corylus","CUPRESSACEAE","CYPERACEAE","Diospyros","Asteraceae","Pinua","Ericales","EUPHORBIACEAE","FABACEAE","Fagus","Fern.Spore","Fraxinus","Helianthemum","Humulus","Indeterminate","Hypericum","Ilex","Isoetes","Iva","Juglans","Juniperus","Justicia","LILIACEAE","Liquidambar","Liriodendron","Magnolia","MALVACEAE","Melilotus","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nymphoides","Nyssa","Oenothera","Ostrya.Carpinus","Parthenicissus","Phlox","Picea","Planera","Plantago","Platanus","POACEAE","Polygonella","Polygonum","Polypodium","Populus","Potamogeton","Prunus","Quercus","RANUNCULACEAE","RHAMNACEAE","Rhus","ROSACEAE","Rubus","Rumex","Sagitarria","Salix","Sambucus","SCROPHULARIACEAE","SOLANACEAE","Taxodium","Thalictrum","Tilia","Trilete.Spore","Tsuga","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Urtica","Urticularia","Vitis","Upland.Pollen","Total.Pollen","Lycopodium"
179,9986,0,0,0,0,0,0,0.564971751,0,0,0.564971751,0,0,0,0,0,3.389830508,0,0,0,0,0,0,0,0.564971751,2.824858757,0,0,0.564971751,18.07909605,0,0,0,0,0,1.129943503,0,0,2.824858757,0,0,0,0,0,1.129943503,0,0,1.694915254,0,0,0,0,0,0,0,0,5.084745763,0,0,0,0,0,0,7.90960452,0.564971751,0,0,2.259887006,0,0,0,0,0,0.564971751,51.41242938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564971751,0,0,1.129943503,2.259887006,0,0,0,100,105.0847458,NA
181,10010,0,0,0,0,0,0,0.512820513,0,0,0.512820513,1.025641026,0,0,0,0,4.615384615,0,0,0,0,0,0,0,0,0.512820513,0,0,2.564102564,17.43589744,0,0,0,0,1.025641026,0,0,0,0.512820513,0,0,0,0,0,0,0,0,1.025641026,0,0,0,0,0,0,0,0,2.051282051,0,0,0,0.512820513,0,0,5.128205128,0,0,0,3.58974359,0,0,0,0,0,0,53.33333333,2.051282051,0,0,0,0,0,0,0,0,0,0,0.512820513,0,0,0,0.512820513,0,0,2.564102564,2.051282051,0,0,0,100,102.0512821,NA
183,10035,0,0,1.639344262,0,1.092896175,0,0,0,0,0,0,0,0,0,0,3.278688525,0,0,0,0,0,0,0,0,0,0.546448087,0,0.546448087,27.86885246,0,0,0,0,0,0.546448087,0,0,0.546448087,0,0,0,0,0,0,0,0,0.546448087,0,0,0,0.546448087,0,0.546448087,0,0.546448087,3.825136612,0,0,0,0.546448087,0,0,3.278688525,0,0,0,5.464480874,0,0,0,0,0,0,49.18032787,0,0,0,0,0,0,0,0,0,0,0,0.546448087,0,0,0,0.546448087,0,0,1.092896175,1.639344262,0,0,0,100,104.3715847,NA
186,10068,0,0,0,0,0,0,0.298507463,0,0,0,0.298507463,0,0,0,0.298507463,3.28358209,0,0,0,0,0,0,0,0,3.880597015,0.895522388,0,0.298507463,23.88059701,0,0,0,0,0,0,0,0,3.880597015,0,0,0,0,0.298507463,0,0,0,0.298507463,0,2.686567164,0,0,0,0,1.194029851,0,2.388059701,0,0.298507463,0,0.597014925,0,0,0,0,0,0,5.373134328,0,0,0,0,0,0,50.14925373,0,0,0,0.298507463,0,0,0,0,0,0,0,0,0,0,0.298507463,0,0,0,0.597014925,2.388059701,0,0,0,100,103.880597,NA
188,10087,0,0,0,0,0.4048583,0,0.809716599,0,0,0.4048583,0.809716599,0,0,0,0,4.453441296,0,0,0,0,0,0,0,0,2.429149798,0,0,0.809716599,23.88663968,0,0,0,0.4048583,0,1.214574899,0,0,3.643724696,0,0,0,0,0,0.4048583,0,0,0.809716599,0,3.238866397,0,0,0,0,0.809716599,1.214574899,4.453441296,0.4048583,0,0,0,0,0,0,0,0,0,6.072874494,0,0,0,0,0,0,46.55870445,0,0,0,0,0,0,0,0,0,0,0,0.4048583,0,0,0,0,0,0,0.4048583,2.834008097,0,0,0,100,106.8825911,NA
190,10107,0,0,0,0,1.219512195,0,0,0.609756098,0,0.609756098,1.219512195,0,0,0,0.609756098,5.487804878,0,0,0,0,0,0,0,0,2.43902439,0,0,0.609756098,23.17073171,0,0,0.609756098,0,0,0.609756098,0,0,3.658536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219512195,3.048780488,1.219512195,0,0,0,0,0,0,0.609756098,0.609756098,0,2.43902439,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219512195,4.87804878,0,0,0,100,106.097561,NA
193,10158,0,0,0,0.772200772,0,1.158301158,0,0,0.386100386,0.386100386,1.158301158,0.386100386,0,0,0,3.861003861,1.158301158,0,0,0,0,0.386100386,0,0,2.702702703,0.386100386,0,0.772200772,30.11583012,0,0,0.772200772,0.386100386,0,0,0,0,0,0.386100386,0,0,0,0,0.772200772,0,0,0.772200772,0.386100386,2.316602317,0,0,0,0,0.386100386,0,2.702702703,0.386100386,0,0,0.772200772,0,0,0,0,0,0,3.088803089,0,0,0,0,0,0,45.17374517,0,0,0,0.386100386,0,0,0.772200772,0,0,0,0,0,0,0,0,0,0,0,0.772200772,0.386100386,0,0,0.386100386,100,104.6332046,NA
195,10189,0,0,0.546448087,0,0.546448087,0,0,0,0,0,0.546448087,0,0,0,0,6.010928962,0,0,0,0,0,0,0,0,3.278688525,0.546448087,0,2.18579235,26.77595628,0,0,0,0,0,2.18579235,0,0,3.278688525,0,0,0,0,0,2.732240437,0,0,0,0,1.092896175,0,0,0,0,0.546448087,0,3.278688525,0.546448087,0,0,0,0,0,0,0,0,0,7.650273224,0,0,0,0.546448087,0,0,40.98360656,0.546448087,0,0,0,0,0,0,0,0,0,0,0.546448087,0,0,0,0,0,0.546448087,0,0,0,0,0,100,104.9180328,NA
198,10212,0,0,0.45045045,0,0.45045045,0,0,0,0,0,0,0,0.45045045,0,0,2.252252252,0,0.45045045,0,0,0,0,0,0,4.054054054,0.45045045,0,9.009009009,11.26126126,0,0,0,0.900900901,0,0,0,0,2.702702703,0,0,0,0,0,0,0.45045045,0,0,0.45045045,1.801801802,0,0,0,0,0.45045045,1.351351351,0.45045045,0,0,0,1.351351351,0,0,0.45045045,0.45045045,0,0,6.756756757,0,0,0,0.900900901,0,0,50.9009009,0.45045045,0,0,0,0,0,0,0,0,1.801801802,0,0.900900901,0,0,0,0.45045045,0,0,0.45045045,0,0,0.45045045,0,100,102.7027027,NA
200,10229,0,0,0,0,0,0,0,0,0,0.434782609,0.434782609,1.304347826,0,0,0,4.347826087,0,0.434782609,0,0,0,0,0,0.434782609,1.304347826,0,0,0.434782609,30.86956522,0,0,0,3.47826087,0,1.304347826,0,0,4.782608696,0,0,0.869565217,0,0,0,0,0,0,0,1.304347826,0,0,0,0,0,0.869565217,0.434782609,0.434782609,0,0,0.869565217,0,0,0,0,0,0,1.739130435,0,0,0,0,0.434782609,0,45.65217391,0.434782609,0,0,0.434782609,0,0,0,0,0,0,0,0,0,0,0,0.434782609,0,0,0,0,0,0.869565217,0,100,104.3478261,NA
202,10258,0,0,0.518134715,0,0,0,1.554404145,0,0,0,0,1.554404145,0,0,0,4.14507772,0,0,0,0,0,0,0,0.518134715,2.07253886,0.518134715,0,0.518134715,34.71502591,0,0,0,2.07253886,0,0,0,0,4.14507772,0,0,1.03626943,0,0.518134715,0,0,0,2.07253886,0,0.518134715,0,0,0,0,1.03626943,0,1.03626943,0.518134715,0,0,1.03626943,0,0,3.626943005,0,0,0,2.07253886,0,0,0,0.518134715,2.07253886,0,35.23316062,0,0,0,0.518134715,0,0,0,0,0,0,0,0.518134715,0,0,0,1.554404145,0,0,0,0,0,0,0,100,106.2176166,NA
205,10297,0,0,2.487562189,0,0,0,0.995024876,0,0,0,2.487562189,2.985074627,0,0,0,4.47761194,0.497512438,0,0,0,0,0,0,0,5.472636816,0.995024876,0.497512438,0,8.457711443,0.497512438,0,1.492537313,3.482587065,0,0.995024876,0,0,3.980099502,0,0,1.492537313,0,0,0.995024876,0,0,0,0,0,0,0,0,0,0.497512438,0,0,0.497512438,0,0,1.492537313,0,0,0,0,0,0,0.995024876,0,0,0.497512438,1.492537313,0.995024876,0,53.73134328,0,0.497512438,0,0,0,0,0,0.497512438,0.497512438,0,0,0,0,0,0,0.995024876,0,0,0.497512438,0,0,0.995024876,0,100,106.4676617,NA
207,10320,0,0,0,0,1.129943503,0,0,0,0,0,1.129943503,4.519774011,0,0,0,3.95480226,0,0,0,0,0,0,0,0,2.824858757,0.564971751,0,1.694915254,25.42372881,0,0,0,0.564971751,0,0.564971751,0,0,2.259887006,0,0,2.824858757,1.694915254,0,0,0,0,0.564971751,0.564971751,0.564971751,0,0,0,0,0.564971751,0,1.129943503,2.259887006,0,0,1.129943503,0,0,0,0,0,0,3.95480226,0,0,0,0,0,0,44.06779661,0,0,0,0,0,0,0,0,0,0,0.564971751,1.129943503,0,0,0,1.694915254,0,0,0.564971751,0.564971751,0,0,0,100,108.4745763,NA
209,10341,0,0,0.460829493,0,0,0,0.460829493,0,0,0,0.921658986,2.304147465,0,0,0,5.529953917,0,0,0,0,0,0,0,0,3.225806452,0,0.460829493,0.460829493,19.8156682,0,0,0,1.382488479,0,0,0,0,0,0,0,4.608294931,0.460829493,0,0,0,0,2.304147465,0,0,0,0,0,0.460829493,0.460829493,0,2.304147465,0,0,0,0,0,0,0,0,0,0,2.764976959,0,0,0,0,0.460829493,0,53.91705069,0.460829493,0,0,0,0,0,0,0,0,0,0,0.460829493,0,0,0,1.382488479,0,0,0,0,0,0,0.460829493,100,105.5299539,NA
212,10372,0,0,2.010050251,0,0.502512563,0,0,0,0,0,0,5.025125628,0,0,0,14.07035176,0,0,0,0,0,0,0,0.502512563,6.532663317,1.005025126,0.502512563,1.507537688,4.020100503,0,0,0,7.537688442,0,0,0,0,2.010050251,0.502512563,0,7.035175879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.010050251,0,0,0.502512563,1.005025126,0,0,1.005025126,0,0,0,0,0.502512563,0,45.72864322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.010050251,0,0,0,0,0,0,0,100,105.5276382,NA
