depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
0,0,0,0,0,0,0.0841,-0.0841,0.6206,0.8098,1.022,0.8098,-0.4824,17.05,0,0,0,0,0,0,0,2.57,,58,,,,,,,,,
1,9,0,0,0,0,0.084,-0.084,0.617,0.8054,1.0165,0.8054,-0.4807,16.96,0,0,0,0,0,0,0,2.56,,,,,,,,,,,
2,18,0,0,0,0,0.0839,-0.0839,0.6134,0.8008,1.011,0.8008,-0.479,16.86,0,0,0,0,0,0,0,2.55,,,,,,,,,,,
2.5,27,537,3,179,5.9667,0.0838,5.8829,0.6097,0.7963,1.0054,0.7963,-0.4773,16.77,0,0,0,0,0,0,0,2.54,,,,,,,,,,,
2.8,36,537,3,179,5.9667,0.0836,5.883,0.606,0.7916,0.9997,0.7916,-0.4755,16.67,0,0,0,0,0,0,0,2.54,,,,,,,,,,,
3.1,45,537,3,179,5.9667,0.0835,5.8832,0.6023,0.7869,0.9939,0.7869,-0.4737,16.57,0,0,0,0,0,0,0,2.53,,,,,,,,,,,
3.4,54,358,3,119.44,3.8959,0.0833,3.8125,0.5985,0.7822,0.988,0.7822,-0.4719,16.46,0,0,0,0,0,0,0,2.52,,,,,,,,,,,
3.69,63,269,3,89.67,2.8925,0.0832,2.8093,0.5946,0.7773,0.9821,0.7773,-0.47,16.35,0,0,0,0,0,0,0,2.52,,,,,,,,,,,
3.98,72,269,3,89.67,2.8925,0.0831,2.8094,0.5907,0.7724,0.976,0.7724,-0.468,16.24,0,0,0,0,0,0,0,2.51,,,,,,,,,,,
4.27,81,231,3,77,2.3121,0.0829,2.2292,0.5867,0.7674,0.9699,0.7674,-0.4661,16.13,0,0,1,1,1,0,357.5331,2.5,,,,,,,,,,,
4.54,90,98,3,32.67,0.7259,0.0827,0.6432,0.5827,0.7623,0.9636,0.7623,-0.464,16.02,0,0,0,0,0,0,0,2.49,,,,,,,,,,,
4.74,99,98,3,32.67,0.7259,0.0826,0.6433,0.5785,0.7571,0.9572,0.7571,-0.4619,15.9,0,0,0,0,0,0,0,2.49,,,,,,,,,,,
4.94,108,98,3,32.67,0.7259,0.0824,0.6435,0.5743,0.7518,0.9507,0.7518,-0.4598,15.78,0,0,0,0,0,0,0,2.48,,,,,,,,,,,
5.14,117,98,3,32.67,0.7259,0.0823,0.6436,0.5701,0.7464,0.9441,0.7464,-0.4576,15.66,0,0,0,0,0,0,0,2.47,,,,,,,,,,,
5.34,126,95,3,31.56,0.7085,0.0822,0.6263,0.5657,0.7409,0.9373,0.7409,-0.4553,15.53,0,0,0,0,0,0,0,2.46,,,,,,,,,,,
5.55,135,83,3,27.67,0.6434,0.082,0.5614,0.5613,0.7353,0.9304,0.7353,-0.453,15.41,0,0,0,0,0,0,0,2.46,,,,,,,,,,,
5.76,144,83,3,27.67,0.6434,0.0819,0.5615,0.5568,0.7296,0.9234,0.7296,-0.4506,15.28,0,0,0,0,0,0,0,2.45,,,,,,,,,,,
5.97,153,83,3,27.67,0.6434,0.0818,0.5616,0.5521,0.7238,0.9162,0.7238,-0.4482,15.15,0,0,0,0,0,0,0,2.44,,,,,,,,,,,
6.17,162,83,3,27.67,0.6434,0.0817,0.5617,0.5474,0.7179,0.9089,0.7179,-0.4457,15.01,0,1,0,0,0,0,0,2.43,,,,,,,,,,,
6.38,171,55,3,18.48,0.4494,0.0816,0.3678,0.5426,0.7118,0.9014,0.7118,-0.4431,14.88,0,0,0,0,0,0,0,2.42,,,,,,,,,,,
6.6,180,21,3,7,0.1795,0.0815,0.098,0.5377,0.7056,0.8938,0.7056,-0.4404,14.74,0,0,0,0,0,0,0,2.42,,,,,,,,,,,
6.83,189,21,3,7,0.1795,0.0814,0.0981,0.5327,0.6993,0.8859,0.6993,-0.4377,14.61,0,0,0,0,0,0,0,2.41,,,,,,,,,,,
7.06,198,21,3,7,0.1795,0.0814,0.0981,0.5276,0.6928,0.878,0.6928,-0.4349,14.47,0,0,0,0,0,0,0,2.4,,,,,,,,,,,
7.29,207,21,3,6.85,0.1786,0.0813,0.0972,0.5225,0.6863,0.8699,0.6863,-0.432,14.32,0,0,0,0,0,0,0,2.4,,,,,,,,,,,
