"depth","age","minSCD"
606.5,7769,0.1644
614.5,7915,0.1802
632.5,8513,0.1525
638.5,8664,0.2114
644.5,8819,0.1454
651.5,8996,0.131
656.5,9123,0.1419
662.5,9282,0.116
670.5,9483,0.2032
671.5,9509,0.1714
676.5,9643,0.2295
682.5,9799,0.2053
688.5,9956,0.1387
694.5,10106,0.1468
700.5,10264,0.1439
706.5,10421,0.1698
712.5,10575,0.2317
718.5,10731,0.2282
727.5,10962,0.3724
743.5,11384,0.2851
745.5,11441,0.22
755.5,11695,0.2265
757.5,11746,0.3233
759.5,11803,0.2378
760.5,11829,0.2271
762.5,11874,0.1779
765.5,11939,0.3372
769.5,12028,0.2926
772.5,12090,0.3521
775.5,12152,0.3689
777.5,12195,0.5757
778.5,12215,0.536
785.5,12361,0.5704
787.5,12402,0.5197
790.5,12461,0.5687
792.5,12497,0.481
794.5,12532,0.4356
796.5,12577,0.5225
798.5,12652,0.5644
802.5,12789,0.5967
808.5,13052,0.4447
812.5,13233,0.4055
814.5,13330,0.3965
819.5,13559,0.4829
821.5,13658,0.5597
826.5,14031,0.4262
831.5,14257,0.5734
836.5,14364,0.3042
841.5,14471,0.2922
845.5,14557,0.1709
846.5,14577,0.2115
848.5,14622,0.2323
851.5,14680,0.176
854.5,14738,0.2411
856.5,14776,0.2312
861.5,14876,0.2842
866.5,14980,0.3161
871.5,15082,0.2771
876.5,15183,0.1981
881.5,15282,0.2618
887.5,15408,0.1936
890.5,15470,0.2085
896.5,15591,0.2268
900.5,15674,0.2173
906.5,15791,0.3269
910.5,15876,0.1788
916.5,15998,0.2332
920.5,16076,0.2246
930.5,16275,0.3795
954.5,16769,0.3412
1082.5,19377,0.2821
