depth,age,tave,sse,minSCD
956,7654,7.885303929,1.538060467,0.211665056
966,8161,7.923636232,1.538060467,0.194787512
976,8645,8.688913339,1.713572292,0.177770631
986,9118,7.921576614,1.538060467,0.197005685
996,9597,7.876332788,1.538060467,0.20749815
1006,10059,7.869075868,1.538060467,0.24671502
1015,10445,3.401739159,1.343484276,0.154486263
1025,10926,3.19754282,1.227020782,0.194933018
1035,11429,-0.297992989,4.297484148,0.163729701
1045,11929,2.291807693,1.453684973,0.238227234
1055,12426,1.307063314,1.484671681,0.175694227
1065,12922,2.171531912,1.003055332,0.146789022
1075,13357,3.414393367,1.397991416,0.191320953
1085,13607,3.846991591,1.574204561,0.218630098
1090,13857,2.879004725,1.266404359,0.207240859
1091,13922,1.753024927,1.476465374,0.244133419
1096,14232,0.528145725,2.282264227,0.186964457
1106,14794,1.16132134,2.841167014,0.197458632
1116,15355,-0.543230944,1.645560695,0.204923332
1126,15934,-2.123494153,1.705221393,0.176221152
1136,16717,-1.24548935,2.293135408,0.099674437
1146,17572,-2.499615056,2.621999237,0.074558654
1161,18893,-1.777362273,3.172872516,0.072618963
1165,19243,-1.512321358,1.939476734,0.144328126
1166,19322,-0.808029435,3.269307266,0.122329339
1171,19777,1.067862201,2.056071497,0.107810791
1181,20665,-0.879276344,3.510830386,0.078531499
1191,21505,0.393622897,2.61422455,0.107866078
1201,22370,1.531528826,2.427008447,0.099922655
1211,23230,-0.142489843,3.825469906,0.081727616
1221,24099,-0.457575329,1.336918098,0.059993755
1231,24937,1.070845777,2.215802338,0.110558646
1241,25830,0.109384821,1.506890839,0.039622219
1251,26682,0.669025232,2.394069757,0.051290363
