"X","siteID","datasetID","siteName","handle","lat","long","depth","age","minSCD"
"V1",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,903.5,8809,0.225712862426401
"V2",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,911.5,8987,0.240405182516638
"V3",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,919.5,9151,0.231895983227124
"V4",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,927.5,9327,0.192938495266407
"V5",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,935.5,9508,0.210437942319019
"V6",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,943.5,9612,0.18269813212731
"V7",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,951.5,9675,0.241712761200698
"V8",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,959.5,9744,0.18453385329944
"V9",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,967.5,9814,0.17071774356615
"V10",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,975.5,9885,0.260574766344795
"V11",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,982.5,9946,0.227571306372027
"V12",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,991.5,10020,0.289995479333387
"V13",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,999.5,10081,0.219392015854305
"V14",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1007.5,10144,0.221593465616198
"V15",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1015.5,10204,0.243257124724262
"V16",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1023.5,10264,0.231979691509438
"V17",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1031.5,10324,0.216716589185571
"V18",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1039.5,10400,0.228326002541492
"V19",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1047.5,10475,0.180326325485739
"V20",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1055.5,10557,0.287723521090961
"V21",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1063.5,10638,0.224627549107373
"V22",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1071.5,10715,0.212712685049505
"V23",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1079.5,10795,0.242752937402616
"V24",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1087.5,10873,0.216259086850454
"V25",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1095.5,10950,0.225302172406059
"V26",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1099.5,10987,0.222339741474293
"V27",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1103.5,11031,0.168394708421604
"V28",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1108.5,11099,0.191708713918954
"V29",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1124.5,11430,0.304488628135129
"V30",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1127.5,11519,0.289763288061071
"V31",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1131.5,11667,0.224871832249709
"V32",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1135.5,11814,0.254392959002765
"V33",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1139.5,11966,0.237660248045115
"V34",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1143.5,12106,0.33663163130641
"V35",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1147.5,12253,0.187974784171673
"V36",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1151.5,12390,0.2177737060119
"V37",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1155.5,12560,0.229823611012951
"V38",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1159.5,12711,0.204382022832595
"V39",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1163.5,12873,0.255608123324944
"V40",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1167.5,13030,0.171274230216188
"V41",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1171.5,13174,0.283593007466983
"V42",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1175.5,13327,0.580482767426358
"V43",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1179.5,13470,0.448588412458537
"V44",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1183.5,13594,0.524011154142081
"V45",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1187.5,13727,0.565798342066806
"V46",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1191.5,13857,0.712099843052656
"V47",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1194.5,13977,0.550079711491115
"V48",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1199.5,14161,0.550984922804914
"V49",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1203.5,14314,0.633336375740078
"V50",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1207.5,14474,0.646055436660075
"V51",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1211.5,14629,0.604318241912274
"V52",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1215.5,14782,0.319825579178475
"V53",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1219.5,14942,0.523816507967145
"V54",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1223.5,15094,0.473822296798855
"V55",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1231.5,15378,0.219934901580994
"V56",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1234.5,15490,0.154559702107045
"V57",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1239.5,15646,0.142741564600554
"V58",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1242.5,15747,0.0826822362096209
"V59",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1250.5,15990,0.128887615417469
"V60",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1258.5,16200,0.0948352023067413
"V61",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1266.5,16391,0.11788693824866
"V62",NA,NA,"Bonnet Lake","BONT",40.66737,-82.13957,1274.5,16575,0.115704439834059
