X,siteID,datasetID,siteName,handle,lat,long,depth,age,minSCD
V1,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,60,11216,0.267978948
V2,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,65,11283,0.20378566
V3,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,70,11356,0.174396477
V4,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,75,11415,0.234267802
V5,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,80,11489,0.324922377
V6,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,85,11556,0.396804114
V7,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,90,11626,0.496016064
V8,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,91,11643,0.359777133
V9,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,105,12009,0.313772944
V10,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,110,12201,0.453409787
V11,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,115,12369,0.401793388
V12,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,120,12479,0.372148229
V13,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,125,12600,0.403211398
V14,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,130,12704,0.380828126
V15,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,135,12744,0.37841339
V16,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,140,12779,0.460690114
V17,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,145,12820,0.307636176
V18,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,150,12861,0.44379836
V19,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,155,12921,0.449324261
V20,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,160,13025,0.447203506
V21,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,165,13223,0.437263748
V22,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,170,13592,0.411265268
V23,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,175,14237,0.49303916
V24,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,180,14778,0.399721735
V25,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,185,14968,0.344515111
V26,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,190,15140,0.255411916
V27,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,195,15292,0.321995573
V28,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,210,15711,0.308535447
V29,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,215,15831,0.252924026
V30,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,220,15947,0.256529509
V31,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,225,16050,0.266726904
V32,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,230,16139,0.244470825
V33,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,235,16231,0.228724296
V34,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,240,16319,0.189072956
V35,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,245,16396,0.219246472
V36,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,250,16471,0.217803416
V37,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,255,16551,0.269168905
V38,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,260,16629,0.223560044
V39,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,265,16699,0.221568878
V40,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,270,16769,0.230494554
V41,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,275,16837,0.171042525
V42,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,280,16886,0.260826787
V43,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,310,17140,0.260309348
V44,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,315,17180,0.142241593
V45,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,320,17216,0.232701958
V46,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,325,17250,0.219387247
V47,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,330,17279,0.258072299
V48,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,335,17309,0.244846527
V49,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,340,17339,0.239129174
V50,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,345,17367,0.255217313
V51,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,350,17391,0.179595583
V52,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,355,17419,0.181137856
V53,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,360,17458,0.237164031
V54,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,365,17518,0.232936997
V55,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,370,17581,0.211904386
V56,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,375,17650,0.183677834
V57,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,380,17722,0.189439427
V58,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,385,17812,0.189880499
V59,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,390,17906,0.179068056
V60,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,395,18016,0.185228358
V61,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,405,18258,0.193171398
V62,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,410,18383,0.216655516
V63,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,415,18526,0.201567165
V64,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,420,18649,0.193815017
V65,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,425,18744,0.205466646
V66,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,430,18796,0.153239223
V67,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,435,18840,0.169175997
V68,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,440,18887,0.186592693
V69,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,445,18942,0.169383909
V70,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,450,18997,0.198895032
V71,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,455,19059,0.157112746
V72,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,460,19113,0.212925367
V73,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,465,19172,0.157782489
V74,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,470,19243,0.250754044
V75,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,475,19330,0.230344911
V76,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,480,19456,0.21040663
V77,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,485,19602,0.204802933
V78,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,490,19762,0.25360861
V79,NA,NA,Cupola Pond,CUP,36.799197,-91.090036,495,19937,0.232172762
