depth,age,tave,sse,minSCD
20,13309,9.679322044,2.650873441,0.23617254
30,13360,9.239191365,1.663376085,0.3685004
40,13408,9.684715236,1.933331322,0.405550947
50,13456,9.590517595,2.799708913,0.267238322
60,13505,5.372083686,0.126570139,0.168273153
70,13550,1.429857225,0.558005376,0.158535984
80,13592,0.541778563,1.816361748,0.197036665
90,13669,-1.72796926,1.468424326,0.159312301
100,13737,-0.896373648,1.449286031,0.135281206
110,13803,-2.371899367,0.876783896,0.159807132
120,13865,-0.753706811,1.432295361,0.157495652
130,13915,-1.70559523,1.894391723,0.131669089
140,13964,-2.579252826,4.563707922,0.145758977
150,14015,-6.792696362,6.725275459,0.125614189
159,14062,-9.416225231,5.209795581,0.141234206
178,14164,-7.777961229,5.731474505,0.169426361
195,14255,-1.124931753,2.985520055,0.132499429
288,14760,-5.879025217,5.873708369,0.112472925
310,14880,-0.722141421,3.519768458,0.142145668
391,15321,-1.749857542,4.352364874,0.117642074
416,15459,-3.991671637,6.718997693,0.153643358
447,15624,0.509966113,0.918068625,0.185494148
481,15806,0.139208901,0.685113129,0.127256906
