depth,age,tave,sse,minSCD
629,8719,15.57060489,4.419313295,0.246877199
644,8931,11.63532563,3.903898052,0.202215824
658,9094,7.966050313,1.565295499,0.281942222
672,9285,11.95760936,7.355601947,0.283540071
686,9520,10.20621903,3.66388728,0.31317925
699,9763,13.00873792,6.714140302,0.246296768
716,9905,14.49063254,3.568498284,0.231237983
730,10014,13.45158498,4.211356076,0.231746263
744,10119,7.572999784,2.201492675,0.240011036
758,10227,13.41478844,2.383593925,0.195105994
780,10387,14.24394877,2.306475666,0.095949597
793,10660,11.78880855,4.936306311,0.24192685
806,11393,18.36370465,1.755818897,0.235648929
812,11883,14.38927562,5.388002413,0.12435949
819,12523,10.72306684,4.375491972,0.286435365
832,12836,18.02990688,3.229414808,0.234829016
845,12990,7.315320484,0.188600106,0.341549753
857,13181,12.55141305,3.384124702,0.187377006
871,13520,14.25557834,4.708797086,0.302634237
884,13662,8.454301036,2.908293314,0.405850397
897,13716,11.90134529,2.970626197,0.296582364
913,13820,15.83552732,5.044407795,0.57287638
919,13921,11.34511998,3.963619558,0.195627699
931,14049,15.44576026,2.919511946,0.29909682
954,14248,14.89013339,3.458796033,0.340712783
960,14321,10.83615271,2.468930943,0.294704088
974,14432,12.86697017,3.409760989,0.288558681
987,14542,9.320423827,3.924427347,0.241467678
1000,14665,9.322823667,0.984311942,0.364452489
1013,14780,9.490025643,2.165428364,0.336022184
1036,16260,12.76018366,1.106896562,0.241312201
