X,siteID,datasetID,siteName,handle,lat,long,depth,age,minSCD
42,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,510.5,10860,0.089509701
43,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,514.5,10917,0.131007518
44,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,556.5,11504,0.124488712
45,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,560.5,11561,0.108455391
46,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,562.5,11590,0.132841625
47,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,568.5,11671,0.099303734
48,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,572.5,11725,0.129369224
49,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,576.5,11799,0.106055725
50,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,580.5,11913,0.151413421
51,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,584.5,12044,0.15890299
52,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,588.5,12169,0.122195549
53,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,592.5,12295,0.134376703
54,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,596.5,12422,0.123144793
55,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,600.5,12551,0.121267255
56,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,604.5,12665,0.179675208
57,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,608.5,12762,0.20669279
58,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,612.5,12841,0.203611064
59,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,616.5,12875,0.149724596
60,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,620.5,12910,0.175468006
61,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,624.5,12949,0.134721412
62,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,632.5,13021,0.189933339
63,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,636.5,13057,0.195502726
64,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,652.5,13208,0.156955861
65,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,656.5,13246,0.251200748
66,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,660.5,13292,0.165012006
67,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,664.5,13365,0.229022064
68,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,668.5,13454,0.16398298
69,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,672.5,13543,0.179347691
70,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,676.5,13635,0.141516519
71,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,680.5,13727,0.182171353
72,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,684.5,13810,0.235038604
73,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,688.5,13899,0.25737981
74,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,692.5,13993,0.230894882
75,NA,NA,Sheelar Lake,SHE,29.839209,-81.958343,696.5,14085,0.353728781
