X,siteID,datasetID,siteName,handle,lat,long,depth,age,minSCD
V1,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,600.5,8290,0.223870969
V2,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,608.5,8442,0.190447716
V3,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,616.5,8598,0.203674805
V4,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,624.5,8755,0.250474905
V5,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,632.5,8911,0.200283427
V6,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,640.5,9071,0.219866934
V7,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,648.5,9222,0.231579234
V8,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,652.5,9301,0.230348998
V9,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,656.5,9383,0.204706667
V10,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,660.5,9463,0.249802265
V11,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,664.5,9543,0.291558736
V12,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,668.5,9621,0.232361755
V13,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,672.5,9699,0.248185275
V14,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,676.5,9781,0.254980284
V15,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,680.5,9864,0.289822203
V16,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,684.5,9943,0.306551762
V17,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,688.5,10020,0.248235691
V18,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,696.5,10175,0.203304288
V19,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,704.5,10334,0.219515971
V20,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,712.5,10492,0.33304945
V21,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,720.5,10648,0.2340058
V22,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,728.5,10807,0.259109188
V23,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,736.5,10967,0.31979357
V24,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,744.5,11130,0.370100437
V25,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,752.5,11291,0.595367864
V26,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,760.5,11452,0.456654776
V27,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,768.5,11615,0.39510221
V28,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,776.5,11824,0.35874512
V29,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,784.5,12078,0.351470256
V30,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,792.5,12323,0.496637977
V31,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,800.5,12573,0.458533595
V32,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,808.5,12807,0.513250698
V33,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,818.5,13006,0.57228843
V34,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,826.5,13137,0.689132852
V35,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,834.5,13270,0.580406304
V36,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,842.5,13409,0.622329734
V37,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,846.5,13477,0.58735485
V38,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,850.5,13544,0.580098204
V39,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,854.5,13612,0.572829361
V40,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,858.5,13676,0.559836804
V41,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,862.5,13742,0.613292166
V42,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,866.5,13810,0.61670659
V43,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,870.5,13874,0.34536699
V44,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,874.5,13951,0.262048795
V45,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,878.5,14020,0.140755401
V46,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,882.5,14078,0.207738601
V47,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,886.5,14134,0.211904903
V48,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,890.5,14193,0.246952134
V49,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,898.5,14316,0.194135624
V50,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,902.5,14380,0.202977904
V51,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,906.5,14448,0.236427784
V52,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,914.5,14590,0.150852251
V53,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,922.5,14729,0.148284282
V54,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,930.5,14860,0.154075827
V55,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,938.5,14990,0.191562608
V56,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,946.5,15119,0.178571393
V57,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,954.5,15245,0.210588519
V58,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,962.5,15369,0.216018933
V59,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,970.5,15493,0.258862928
V60,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,978.5,15618,0.141664726
V61,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,986.5,15743,0.233362758
V62,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,994.5,15867,0.239837655
V63,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1010.5,16110,0.212057348
V64,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1026.5,16353,0.17912004
V65,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1034.5,16475,0.180451809
V66,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1042.5,16595,0.150915143
V67,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1058.5,16836,0.154314608
V68,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1074.5,17083,0.138208581
V69,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1082.5,17201,0.213755341
V70,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1090.5,17330,0.153748661
V71,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1097.5,17446,0.164550194
V72,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1106.5,17598,0.231124886
V73,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1114.5,17736,0.112242988
V74,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1122.5,17868,0.183593533
V75,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1130.5,17992,0.224115574
V76,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1138.5,18091,0.21400291
V77,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1146.5,18178,0.239279688
V78,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1154.5,18266,0.183169096
V79,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1162.5,18355,0.181499245
V80,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1170.5,18443,0.210002763
V81,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1178.5,18529,0.234156388
V82,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1186.5,18640,0.185147972
V83,2303,17717,Silver Lake,SILVER07,40.354335,-83.812515,1194.5,18760,0.190797045
