X,siteID,datasetID,siteName,handle,lat,long,depth,age,minSCD
V1,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,34.5,6964,0.263107782
V2,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,42.5,7038,0.248503183
V3,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,58.5,7200,0.24732924
V4,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,66.5,7278,0.28800338
V5,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,74.5,7358,0.25107882
V6,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,82.5,7436,0.282315415
V7,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,90.5,7512,0.257990241
V8,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,98.5,7588,0.254197778
V9,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,106.5,7665,0.297832819
V10,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,114.5,7741,0.258856289
V11,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,122.5,7812,0.313959883
V12,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,130.5,7873,0.241323054
V13,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,138.5,7942,0.29892045
V14,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,146.5,8011,0.26797336
V15,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,154.5,8077,0.278865302
V16,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,162.5,8142,0.255862248
V17,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,170.5,8209,0.294478928
V18,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,178.5,8272,0.281769263
V19,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,186.5,8337,0.263996294
V20,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,194.5,8403,0.240721603
V21,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,202.5,8467,0.330428792
V22,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,210.5,8533,0.302506929
V23,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,218.5,8599,0.292566519
V24,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,226.5,8666,0.289943385
V25,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,234.5,8735,0.258950509
V26,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,242.5,8802,0.260730475
V27,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,250.5,8868,0.290997999
V28,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,258.5,8933,0.25600085
V29,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,266.5,8997,0.271716848
V30,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,282.5,9131,0.260730475
V31,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,298.5,9266,0.296853012
V32,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,314.5,9402,0.284469179
V33,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,330.5,9532,0.280465614
V34,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,346.5,9664,0.331805914
V35,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,354.5,9735,0.271863524
V36,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,362.5,9803,0.252911496
V37,2520,40168,Stotzel-Leis Site,STOT14,40.216667,-84.689444,370.5,9868,0.254881047
