"Depth","Age","minSCD"
1,-35,0.131409116
5,88,0.074453248
13,412,0.054784525
21,712,0.114416608
29,1022,0.078890019
37,1313,0.09679001
45,1618,0.122615571
53,1872,0.110810852
61,2149,0.08244889
69,2490,0.105697237
77,2880,0.10450398
85,3326,0.046968588
97,3945,0.07029349
105,4333,0.119477325
113,4744,0.138796268
121,5158,0.126109216
129,5582,0.143791846
137,5917,0.158848204
145,6259,0.11607263
153,6591,0.121470391
161,6939,0.133640699
169,7310,0.139113551
177,7662,0.123667878
185,7933,0.128376184
197,8144,0.128026227
205,8282,0.102190999
213,8424,0.114828198
221,8564,0.134994625
229,8705,0.114888254
237,8846,0.082749627
245,9097,0.121723901
253,9721,0.124891312
259,10167,0.138062989
261,10305,0.125228163
263,10445,0.196199043
265,10573,0.2092121
267,10729,0.238760413
269,10872,0.222105596
271,11015,0.176086697
273,11173,0.193163658
275,11314,0.17970246
277,11455,0.137574397
279,11611,0.197800856
281,11759,0.214156413
284,12014,0.183902908
286,12157,0.225218345
288,12308,0.221446177
289,12380,0.219694858
291,12521,0.205549439
293,12673,0.194707761
295,12836,0.194459945
297,12974,0.180128719
299,13130,0.205125606
301,13272,0.157934083
303,13415,0.16030232
305,13552,0.178591655
307,13695,0.233726837
309,13834,0.246557118
311,13982,0.240355658
313,14140,0.28800345
315,14289,0.316133645
317,14438,0.28031918
319,14591,0.250032852
321,14750,0.265188839
323,14928,0.212859272
325,15103,0.253088175
329,15409,0.174431248
337,15986,0.223194346
345,16602,0.155494843
353,17159,0.126185947
361,17660,0.140392448
369,18200,0.129771874
377,18724,0.122895724
386,19315,0.140469662
397,19987,0.098989764
405,20559,0.046792417
413,21141,0.07451002
421,21700,0.039377999
429,22262,0.053400545
437,22913,0.054057408
445,23770,0.052716601
453,24219,0.052008622
461,24686,0.036127211
469,25197,0.046482067
477,25697,0.04373237
486,26232,0.073098215
497,26986,0.093948962
505,27613,0.08015083
514,28301,0.065638742
522,28973,0.055480708
530,29649,0.059969287
539,30394,0.1051748
